,analysis,Analysis_tokens,Attribute_name,Attribute_tokens,Cluster,cls_Cluster
1411,Y_USPO11283_SEC,y _ us ##po ##11 ##28 ##3 _ sec,LMW,l ##m ##w,2,6
1412,Y_SM_250658_R,y _ sm _ 250 ##65 ##8 _ r,CEX ACIDIC GROUP 0 DECPT,ce ##x acidic group 0 dec ##pt,2,6
1413,250580_TOTAL_PROT,250 ##58 ##0 _ total _ pro ##t,RM DIFFERENCE FINAL VS INITIAL,rm difference final vs initial,2,6
1414,249699_BELA,249 ##6 ##9 ##9 _ bela,MIG TIME BELATACEPT RWS,mig time bela ##ta ##ce ##pt r ##ws,2,6
1415,Y_SM_250657_R,y _ sm _ 250 ##65 ##7 _ r,LMW,l ##m ##w,2,6
1416,D_250627,d _ 250 ##6 ##27,BASIC PEAKS_0DP,basic peaks _ 0 ##dp,2,6
1417,C_250601,c _ 250 ##60 ##1,PARTICLES 25 MICRON,particles 25 micro ##n,3,12
1418,A_95007421,a _ 950 ##0 ##7 ##42 ##1,SIZE HOMOGENEITY HPLC LOW MW SP 1DECPT,size homo ##gen ##eit ##y hp ##lc low mw sp 1 ##de ##cp ##t,3,0
1419,A_95009656,a _ 950 ##0 ##9 ##65 ##6,OSMOLALITY,os ##mo ##lal ##ity,3,30
1420,D_250193,d _ 250 ##19 ##3,PROT CONCENTRATION UV 280 NM_DP,pro ##t concentration uv 280 nm _ d ##p,3,12
1421,C_95007433,c _ 950 ##0 ##7 ##43 ##3,TOTAL  PARTICLES PER CONTAINER 25 MICRON,total particles per container 25 micro ##n,3,12
1422,C_250599,c _ 250 ##59 ##9,UNROUNDED UV CONCENTRATION,un ##rou ##nded uv concentration,3,12
1423,D_95007424,d _ 950 ##0 ##7 ##42 ##4,PROT CONCENTRATION UV 280 NM,pro ##t concentration uv 280 nm,3,12
1424,C_95007421,c _ 950 ##0 ##7 ##42 ##1,HIGH MOLECULAR WEIGHT SPECIES,high molecular weight species,3,0
1425,D_321C,d _ 321 ##c,TOTAL PARTICLES 25 MICRON,total particles 25 micro ##n,3,12
1426,M00004294_VIS_PARTI,m ##00 ##00 ##42 ##9 ##4 _ vis _ part ##i,VIALS WITH VISIBLES PARTICULATES,vial ##s with visible ##s part ##iculate ##s,3,12
1427,D_250191,d _ 250 ##19 ##1,HIGH MOLECULAR WEIGHT SPECIES,high molecular weight species,3,0
1428,250580_TOTAL_PROT,250 ##58 ##0 _ total _ pro ##t,SAMPLE 1 CONCENTRATION,sample 1 concentration,3,12
1429,M00004297_VIS_PART,m ##00 ##00 ##42 ##9 ##7 _ vis _ part,VIALS WITH VISIBLES PARTICULATES,vial ##s with visible ##s part ##iculate ##s,3,12
1430,C_5450A,c _ 54 ##50 ##a,BIOBURDEN MICROBIAL LIMITS,bio ##bu ##rden micro ##bial limits,3,0
1431,M00001099,m ##00 ##00 ##10 ##9 ##9,LIGHT CHAIN 1 DECPT,light chain 1 dec ##pt,3,6
1432,A_95007421,a _ 950 ##0 ##7 ##42 ##1,SIZE HOMOGENEITY HPLC HIGH MW SP 1DECPT,size homo ##gen ##eit ##y hp ##lc high mw sp 1 ##de ##cp ##t,3,0
1433,A_95007421,a _ 950 ##0 ##7 ##42 ##1,SIZE HOMOGENEITY HPLC L MW SP 1D NONEU,size homo ##gen ##eit ##y hp ##lc l mw sp 1 ##d none ##u,3,0
1434,C_95007421,c _ 950 ##0 ##7 ##42 ##1,MONOMER,mono ##mer,3,16
1435,PARTICLE_MATTER,particle _ matter,TOTAL PARTICLE COUNT 25Âµ RESULT,total particle count 25 ##a ##µ result,3,12
1436,D_250191,d _ 250 ##19 ##1,LOW MOLECULAR WEIGHT SPECIES,low molecular weight species,3,0
1437,C_95007379,c _ 950 ##0 ##7 ##37 ##9,RECONSTITUTION TIME,rec ##ons ##ti ##tu ##tion time,3,6
1438,D_95007421,d _ 950 ##0 ##7 ##42 ##1,MONOMER,mono ##mer,3,16
1439,A_250601,a _ 250 ##60 ##1,PARTICULATE MATTER 10 MICRONS,part ##iculate matter 10 micro ##ns,3,12
1440,C_95007421,c _ 950 ##0 ##7 ##42 ##1,LOW MOLECULAR WEIGHT SPECIES READING 1,low molecular weight species reading 1,3,14
1441,250602,250 ##60 ##2,TOTAL PARTICLE CONTAINER 10 MICRONS,total particle container 10 micro ##ns,3,12
1442,P_M15647,p _ m1 ##56 ##47,HIGH MOLECULAR WEIGHT SPECIES,high molecular weight species,3,0
1443,95007424,950 ##0 ##7 ##42 ##4,PROTEIN CONC UV 280 NM REP 3,protein con ##c uv 280 nm rep 3,3,14
1444,250580,250 ##58 ##0,PROTEIN CONCENTRATION 1DP,protein concentration 1 ##dp,3,14
1445,C_5450A,c _ 54 ##50 ##a,BIOBURDEN 50ML,bio ##bu ##rden 50 ##ml,3,12
1446,95007433_PART_MATT,950 ##0 ##7 ##43 ##3 _ part _ matt,TOTAL PARTICLE CONTAINER 10 MICRONS,total particle container 10 micro ##ns,3,12
1447,95007433,950 ##0 ##7 ##43 ##3,SUM OF PARTICLES PER CONTAINER 10 MICRON,sum of particles per container 10 micro ##n,3,12
1448,A_95007424,a _ 950 ##0 ##7 ##42 ##4,PROTEIN CONTENT _ UV,protein content _ uv,3,14
1449,95007421,950 ##0 ##7 ##42 ##1,HIGH MOLECULAR WEIGHT SPECIES,high molecular weight species,3,0
1450,95007424,950 ##0 ##7 ##42 ##4,UNROUNDED UV 280 NM CONCENTRATION,un ##rou ##nded uv 280 nm concentration,3,12
1451,95007424,950 ##0 ##7 ##42 ##4,UNROUNDED UV CONCENTRATION,un ##rou ##nded uv concentration,3,12
1452,M00001099,m ##00 ##00 ##10 ##9 ##9,HEAVY CHAIN 1 DECPT,heavy chain 1 dec ##pt,3,6
1453,A_5455A,a _ 54 ##55 ##a,OSMOLALITY,os ##mo ##lal ##ity,3,30
1454,A_95007433,a _ 950 ##0 ##7 ##43 ##3,PARTICULATE MATTER HIAC 10 MICRONS,part ##iculate matter hi ##ac 10 micro ##ns,3,12
1455,C_95009656_RM,c _ 950 ##0 ##9 ##65 ##6 _ rm,OSMOLALITY,os ##mo ##lal ##ity,3,30
1456,95007424,950 ##0 ##7 ##42 ##4,PROT CONCENTRATION UV 280 NM REP 1,pro ##t concentration uv 280 nm rep 1,3,12
1457,95007424_SYSTEM,950 ##0 ##7 ##42 ##4 _ system,BASELINE CHECK ABSORBANCE VALUE,baseline check absorb ##ance value,3,12
1458,95007421_SIZE_HOMOG,950 ##0 ##7 ##42 ##1 _ size _ homo ##g,HIGH MOLECULAR WEIGHT SPECIES,high molecular weight species,3,0
1459,95007421,950 ##0 ##7 ##42 ##1,MONOMER,mono ##mer,3,16
1460,95007421_SIZE_HOMOG,950 ##0 ##7 ##42 ##1 _ size _ homo ##g,HIGH MOLECULAR WEIGHT SPECIES <=3.5,high molecular weight species < = 3 . 5,3,31
1461,C_5450A,c _ 54 ##50 ##a,BIOBURDEN CFU_10ML,bio ##bu ##rden cf ##u _ 10 ##ml,3,12
1462,95007423,950 ##0 ##7 ##42 ##3,SDS COOM REDUCED MAJOR BAND,sd ##s co ##om reduced major band,3,2
1463,95007433,950 ##0 ##7 ##43 ##3,SUM OF PARTICLES PER CONTAINER 25 MICRON,sum of particles per container 25 micro ##n,3,12
1464,95007424,950 ##0 ##7 ##42 ##4,PROT CONTENT UV 280 NM,pro ##t content uv 280 nm,3,12
1465,C_250602,c _ 250 ##60 ##2,PARTICLES >=25 MICRONS,particles > = 25 micro ##ns,3,8
1466,C_95007433,c _ 950 ##0 ##7 ##43 ##3,TOTAL  PARTICLES PER CONTAINER 10 MICRON,total particles per container 10 micro ##n,3,12
1467,D_95007433,d _ 950 ##0 ##7 ##43 ##3,TOTAL PARTICLES PER CONTAINER 25 MICRON,total particles per container 25 micro ##n,3,12
1468,D_95007433,d _ 950 ##0 ##7 ##43 ##3,TOTAL PARTICLES PER CONTAINER 10 MICRON,total particles per container 10 micro ##n,3,12
1469,95007421_SIZE_HOMOG,950 ##0 ##7 ##42 ##1 _ size _ homo ##g,MONOMER,mono ##mer,3,6
1470,A_250188,a _ 250 ##18 ##8,MOISTURE CONTENT 1DECPT,moisture content 1 ##de ##cp ##t,3,12
1471,D_250601,d _ 250 ##60 ##1,TOTAL PARTICLES 25 MICRON,total particles 25 micro ##n,3,12
1472,A_250193,a _ 250 ##19 ##3,PROTEIN CONTENT - UV (A280 NM) 1 DECPT,protein content - uv ( a2 ##80 nm ) 1 dec ##pt,3,14
1473,A_95007433,a _ 950 ##0 ##7 ##43 ##3,PARTICULATE MATTER 10 MICRONS,part ##iculate matter 10 micro ##ns,3,12
1474,C_95007424,c _ 950 ##0 ##7 ##42 ##4,PROT CONCENTRATION UV 280 NM_REP 1,pro ##t concentration uv 280 nm _ rep 1,3,14
1475,C_95007421,c _ 950 ##0 ##7 ##42 ##1,HIGH MOLECULAR WEIGHT SPECIES READING 2,high molecular weight species reading 2,3,14
1476,250580_TOTAL_PROT,250 ##58 ##0 _ total _ pro ##t,SAMPLE 2 CONCENTRATION,sample 2 concentration,3,12
1477,Y_250193_UV,y _ 250 ##19 ##3 _ uv,Protein Concentration,protein concentration,3,14
1478,95007421_SIZE_HOMOG,950 ##0 ##7 ##42 ##1 _ size _ homo ##g,HIGH MOLECULAR WEIGHT SPECIES <=4.5,high molecular weight species < = 4 . 5,3,31
1479,C_95007424,c _ 950 ##0 ##7 ##42 ##4,PROT CONTENT UV 280 NM,pro ##t content uv 280 nm,3,12
1480,C_250653,c _ 250 ##65 ##3,TOTAL BIOBURDEN COUNT 1,total bio ##bu ##rden count 1,3,12
1481,C_5455A,c _ 54 ##55 ##a,OSMOLALITY,os ##mo ##lal ##ity,3,14
1482,C_5450A,c _ 54 ##50 ##a,BIOBURDEN 100ML,bio ##bu ##rden 100 ##ml,3,12
1483,95007433_PART_MATT,950 ##0 ##7 ##43 ##3 _ part _ matt,TOTAL PARTICLE CONTAINER 25 MICRONS,total particle container 25 micro ##ns,3,12
1484,D_95007433,d _ 950 ##0 ##7 ##43 ##3,PARTICULATE MATTER >=25 MICRONS,part ##iculate matter > = 25 micro ##ns,3,26
1485,250658_CATION_EXCH,250 ##65 ##8 _ cat ##ion _ ex ##ch,ACIDIC FRONT,acidic front,3,12
1486,D_95007424,d _ 950 ##0 ##7 ##42 ##4,PROTEIN  CONCENTRATION MG_ML,protein concentration mg _ ml,3,14
1487,C_5450A,c _ 54 ##50 ##a,BIOBURDEN 10ML,bio ##bu ##rden 10 ##ml,3,12
1488,250580_TOTAL_PROT,250 ##58 ##0 _ total _ pro ##t,SAMPLE 1 MASS,sample 1 mass,3,12
1489,250580_TOTAL_PROT,250 ##58 ##0 _ total _ pro ##t,SAMPLE 3 MASS,sample 3 mass,3,12
1490,A_95009656_NIVO,a _ 950 ##0 ##9 ##65 ##6 _ ni ##vo,OSMOLALITY,os ##mo ##lal ##ity,3,30
1491,C_5450A,c _ 54 ##50 ##a,BIOBURDEN ML,bio ##bu ##rden ml,3,12
1492,C_5450A,c _ 54 ##50 ##a,BIOBURDEN CFU_ML,bio ##bu ##rden cf ##u _ ml,3,6
1493,Y_SM_250359A_R,y _ sm _ 250 ##35 ##9 ##a _ r,PROTEIN CONCENTRATION UV A280 NM,protein concentration uv a2 ##80 nm,3,14
1494,250739,250 ##7 ##39,PERCENT RELATIVE POTENCY 0DP,percent relative pot ##ency 0 ##dp,3,19
1495,C_250343,c _ 250 ##34 ##3,GLYCATION,g ##ly ##cation,3,14
1496,Y_GM_95009656_R,y _ gm _ 950 ##0 ##9 ##65 ##6 _ r,OSMOLALITY (MOSMO/KG),os ##mo ##lal ##ity ( mo ##smo / kg ),3,12
1497,A_95010544_NIVO,a _ 950 ##10 ##54 ##4 _ ni ##vo,VOLUME 100MG/10ML,volume 100 ##mg / 10 ##ml,3,12
1498,C_95007433,c _ 950 ##0 ##7 ##43 ##3,TOTAL PARTICLES PER CONTAINER 10 MICRON,total particles per container 10 micro ##n,3,12
1499,250580_TOTAL_PROT,250 ##58 ##0 _ total _ pro ##t,SAMPLE 2 MASS,sample 2 mass,3,12
1500,249699,249 ##6 ##9 ##9,RESULT BOTTLE COMPARED WITH SSS1,result bottle compared with ss ##s ##1,3,6
1501,C_95009656,c _ 950 ##0 ##9 ##65 ##6,OSMOLALITY READING 2,os ##mo ##lal ##ity reading 2,3,30
1502,95007433,950 ##0 ##7 ##43 ##3,TOTAL  PARTICLES PER CONTAINER 10 MICRON,total particles per container 10 micro ##n,3,12
1503,95007433,950 ##0 ##7 ##43 ##3,TOTAL  PARTICLES PER CONTAINER 25 MICRON,total particles per container 25 micro ##n,3,12
1504,C_250598,c _ 250 ##59 ##8,MONOMER HICA01,mono ##mer hi ##ca ##01,3,6
1505,C_250598,c _ 250 ##59 ##8,MONOMER FILLB02,mono ##mer fill ##b ##0 ##2,3,6
1506,D_M00002800,d _ m ##00 ##00 ##28 ##00,IDENTITY PROTEIN CONCENTRATION,identity protein concentration,3,14
1507,C_250599,c _ 250 ##59 ##9,UNROUNDED UV CONCENTRATION GL,un ##rou ##nded uv concentration g ##l,3,12
1508,M_95009656,m _ 950 ##0 ##9 ##65 ##6,OSMOLALITY,os ##mo ##lal ##ity,3,30
1509,PARTICLE_MATTER,particle _ matter,TOTAL PARTICLE CONT 10Âµ RESULT,total particle con ##t 10 ##a ##µ result,3,12
1510,C_95007421,c _ 950 ##0 ##7 ##42 ##1,LOW MOLECULAR WEIGHT SPECIES READING 2,low molecular weight species reading 2,3,14
1511,95007196,950 ##0 ##7 ##19 ##6,PH 1DP,ph 1 ##dp,3,19
1512,C_95009656,c _ 950 ##0 ##9 ##65 ##6,OSMOLALITY,os ##mo ##lal ##ity,3,30
1513,D_95007424,d _ 950 ##0 ##7 ##42 ##4,PROT CONCENTRATION UV 280 NM_MG_VIAL,pro ##t concentration uv 280 nm _ mg _ vial,3,14
1514,C_250599,c _ 250 ##59 ##9,PROT CONCENTRATION REP 3 GL,pro ##t concentration rep 3 g ##l,3,14
1515,D_95007421,d _ 950 ##0 ##7 ##42 ##1,LOW MOLECULAR WEIGHT SPECIES,low molecular weight species,3,0
1516,A_250191,a _ 250 ##19 ##1,HIGH MOLECULAR WEIGHT SPECIES 1 DECPT,high molecular weight species 1 dec ##pt,3,0
1517,C_250653,c _ 250 ##65 ##3,TOTAL BIOBURDEN COUNT 50,total bio ##bu ##rden count 50,3,12
1518,A_USPO610,a _ us ##po ##6 ##10,PARTICULATE MATTER 10 MICRONS,part ##iculate matter 10 micro ##ns,3,12
1519,A_95011468,a _ 950 ##11 ##46 ##8,BIOASSAY,bio ##ass ##ay,3,30
1520,D_M00002800,d _ m ##00 ##00 ##28 ##00,PROTEIN CONCENTRATION,protein concentration,3,14
1521,A_95007365,a _ 950 ##0 ##7 ##36 ##5,WATER KF 1DECPT,water k ##f 1 ##de ##cp ##t,3,30
1522,250195_PART_MATT,250 ##19 ##5 _ part _ matt,TOTAL PARTICLE CONTAINER 10 MICRONS,total particle container 10 micro ##ns,3,12
1523,Y_SM_95007424_R,y _ sm _ 950 ##0 ##7 ##42 ##4 _ r,PROTEIN CONTENT UV A280 MG/ML,protein content uv a2 ##80 mg / ml,3,14
1524,95011468,950 ##11 ##46 ##8,BIOASSAY SPEC_L,bio ##ass ##ay spec _ l,3,30
1525,C_250602,c _ 250 ##60 ##2,PARTICLES >=10 MICRONS,particles > = 10 micro ##ns,3,8
1526,250195,250 ##19 ##5,HIAC EQUAL GREATER THAN 10 MICRONS,hi ##ac equal greater than 10 micro ##ns,3,12
1527,C_250580,c _ 250 ##58 ##0,PROTEIN CONCENTRATION,protein concentration,3,14
1528,250191_SIZE_HOMOG,250 ##19 ##1 _ size _ homo ##g,LOW MOLECULAR WEIGHT SPECIES,low molecular weight species,3,0
1529,GBL_250682,gb ##l _ 250 ##6 ##8 ##2,DRUG CONTENT 400MG/VIAL,drug content 400 ##mg / vial,3,14
1530,M_250682,m _ 250 ##6 ##8 ##2,DRUG CONTENT 300MG/VIAL,drug content 300 ##mg / vial,3,14
1531,C_250598,c _ 250 ##59 ##8,MONOMER CEXE01,mono ##mer ce ##x ##e ##01,3,6
1532,C_250599,c _ 250 ##59 ##9,PROT CONCENTRATION GL,pro ##t concentration g ##l,3,30
1533,M00001099,m ##00 ##00 ##10 ##9 ##9,PURITY 1 DECPT,purity 1 dec ##pt,3,30
1534,PARTICLE_MATTER,particle _ matter,AVERAGE PARTICLE COUNT 10Âµ,average particle count 10 ##a ##µ,3,26
1535,C_250624,c _ 250 ##6 ##24,SEMI-QUANTITATIVE PARTICULATES,semi - quantitative part ##iculate ##s,3,12
1536,95007424_PROT_CONT,950 ##0 ##7 ##42 ##4 _ pro ##t _ con ##t,AMOUNT OF ABATACEPT DP PER VIAL,amount of aba ##ta ##ce ##pt d ##p per vial,3,5
1537,C_95007424,c _ 950 ##0 ##7 ##42 ##4,PROT CONCENTRATION UV 280 NM_REP 3,pro ##t concentration uv 280 nm _ rep 3,3,14
1538,95007421_SIZE_HOMOG,950 ##0 ##7 ##42 ##1 _ size _ homo ##g,HIGH MOLECULAR WEIGHT SPECIES <=3.0,high molecular weight species < = 3 . 0,3,31
1539,C_250682,c _ 250 ##6 ##8 ##2,DRUG CONTENT 300MG/VIAL,drug content 300 ##mg / vial,3,14
1540,250495,250 ##49 ##5,SDS COO NONREDUCED SINGLE CHAIN 1DP,sd ##s co ##o non ##red ##uce ##d single chain 1 ##dp,3,16
1541,GBL_250602,gb ##l _ 250 ##60 ##2,PARTICLES >=25 MICRONS,particles > = 25 micro ##ns,3,8
1542,250191,250 ##19 ##1,SIZE HOMOGENEITY LMW SPECIES 1DECPT,size homo ##gen ##eit ##y l ##m ##w species 1 ##de ##cp ##t,3,0
1543,Y_250359_UV,y _ 250 ##35 ##9 _ uv,Protein Concentration,protein concentration,3,14
1544,D_95007421,d _ 950 ##0 ##7 ##42 ##1,HIGH MOLECULAR WEIGHT SPECIES,high molecular weight species,3,0
1545,D_250601,d _ 250 ##60 ##1,TOTAL PARTICLES 10 MICRON,total particles 10 micro ##n,3,12
1546,D_250692,d _ 250 ##6 ##9 ##2,RELATIVE BIOASSAY,relative bio ##ass ##ay,3,30
1547,D_250195,d _ 250 ##19 ##5,TOTAL PARTICLES GTE 25 MICRON,total particles gt ##e 25 micro ##n,3,12
1548,C_250692,c _ 250 ##6 ##9 ##2,RELATIVE BIOASSAY,relative bio ##ass ##ay,3,30
1549,PARTICLE_MATTER,particle _ matter,AVERAGE PARTICLE COUNT 25Âµ,average particle count 25 ##a ##µ,3,12
1550,95007424_PROT_CONT,950 ##0 ##7 ##42 ##4 _ pro ##t _ con ##t,ABSORBANCE AT 280 SAMPLE READING 1,absorb ##ance at 280 sample reading 1,3,12
1551,Y_GM_95009656,y _ gm _ 950 ##0 ##9 ##65 ##6,OSMOLALITY,os ##mo ##lal ##ity,3,14
1552,95007421,950 ##0 ##7 ##42 ##1,LOW MOLECULAR WEIGHT SPECIES,low molecular weight species,3,0
1553,95007424,950 ##0 ##7 ##42 ##4,PROTEIN CONTENT UV 280 NM,protein content uv 280 nm,3,14
1554,250191_SIZE_HOMOG,250 ##19 ##1 _ size _ homo ##g,HIGH MOLECULAR WEIGHT SPECIES,high molecular weight species,3,0
1555,C_250601,c _ 250 ##60 ##1,PARTICLES 10 MICRON,particles 10 micro ##n,3,12
1556,A_95007433,a _ 950 ##0 ##7 ##43 ##3,PARTICULATE MATTER 25 MICRONS,part ##iculate matter 25 micro ##ns,3,12
1557,Y_95011468_BIA,y _ 950 ##11 ##46 ##8 _ bi ##a,Bioassay,bio ##ass ##ay,3,0
1558,A_95007196,a _ 950 ##0 ##7 ##19 ##6,PH 1DECPT,ph 1 ##de ##cp ##t,3,30
1559,250580_TOTAL_PROT,250 ##58 ##0 _ total _ pro ##t,SAMPLE 3 CONCENTRATION,sample 3 concentration,3,12
1560,C_95007424,c _ 950 ##0 ##7 ##42 ##4,PROT CONCENTRATION UV 280 NM,pro ##t concentration uv 280 nm,3,12
1561,GBL_250602,gb ##l _ 250 ##60 ##2,PARTICLES >=10 MICRONS,particles > = 10 micro ##ns,3,8
1562,250195,250 ##19 ##5,HIAC EQUAL GREATER THAN 25 MICRONS,hi ##ac equal greater than 25 micro ##ns,3,12
1563,250684,250 ##6 ##8 ##4,REDUCED HEAVY AND LIGHT CHAINS HC+LC 1DP,reduced heavy and light chains hc + lc 1 ##dp,3,16
1564,GBL_250682,gb ##l _ 250 ##6 ##8 ##2,DRUG CONTENT 300MG/VIAL,drug content 300 ##mg / vial,3,14
1565,C_5455A,c _ 54 ##55 ##a,OSMOLALITY READING 2,os ##mo ##lal ##ity reading 2,3,30
1566,C_95007424,c _ 950 ##0 ##7 ##42 ##4,PCT TARGET FILL,pc ##t target fill,3,6
1567,95007424_SYSTEM,950 ##0 ##7 ##42 ##4 _ system,ABSORBANCE AT 280 STD 4 SECOND BRACKET,absorb ##ance at 280 st ##d 4 second bracket,3,12
1568,Y_95007421_HMG,y _ 950 ##0 ##7 ##42 ##1 _ hm ##g,Low MW Species,low mw species,3,0
1569,A_USPO610,a _ us ##po ##6 ##10,PARTICULATE MATTER 25 MICRONS,part ##iculate matter 25 micro ##ns,3,12
1570,A_95007421,a _ 950 ##0 ##7 ##42 ##1,SIZE HOMOGENEITY HPLC H MW SP 1D NONEU,size homo ##gen ##eit ##y hp ##lc h mw sp 1 ##d none ##u,3,0
1571,C_95007421,c _ 950 ##0 ##7 ##42 ##1,LOW MOLECULAR WEIGHT SPECIES,low molecular weight species,3,0
1572,C_95009656,c _ 950 ##0 ##9 ##65 ##6,OSMOLALITY READING 1,os ##mo ##lal ##ity reading 1,3,6
1573,95007424_SYSTEM,950 ##0 ##7 ##42 ##4 _ system,ABSORBANCE AT 280 STD 3 INITIAL BRACKET,absorb ##ance at 280 st ##d 3 initial bracket,3,12
1574,95007421_SIZE_HOMOG,950 ##0 ##7 ##42 ##1 _ size _ homo ##g,HIGH MOLECULAR WEIGHT SPECIES <=4.0,high molecular weight species < = 4 . 0,3,31
1575,M_250602,m _ 250 ##60 ##2,PARTICLES >=10 MICRONS,particles > = 10 micro ##ns,3,8
1576,C_250682,c _ 250 ##6 ##8 ##2,DRUG CONTENT 400MG/VIAL,drug content 400 ##mg / vial,3,14
1577,M_250580,m _ 250 ##58 ##0,PROTEIN CONCENTRATION,protein concentration,3,14
1578,C_5455A,c _ 54 ##55 ##a,OSMOLALITY READING 3,os ##mo ##lal ##ity reading 3,3,30
1579,D_250598,d _ 250 ##59 ##8,HIGH MOLECULAR WEIGHT SPECIES_0DP,high molecular weight species _ 0 ##dp,3,0
1580,M_250682,m _ 250 ##6 ##8 ##2,DRUG CONTENT 400MG/VIAL,drug content 400 ##mg / vial,3,14
1581,D_95007424,d _ 950 ##0 ##7 ##42 ##4,PROT CONCENTRATION UV 280 NM_0DP,pro ##t concentration uv 280 nm _ 0 ##dp,3,12
1582,95007421_SIZE_HOMOG,950 ##0 ##7 ##42 ##1 _ size _ homo ##g,LOW MOLECULAR WEIGHT SPECIES,low molecular weight species,3,0
1583,D_95007424,d _ 950 ##0 ##7 ##42 ##4,PCT TARGET FILL,pc ##t target fill,3,6
1584,A_95007433,a _ 950 ##0 ##7 ##43 ##3,PARTICULATE MATTER HIAC 25 MICRONS,part ##iculate matter hi ##ac 25 micro ##ns,3,12
1585,A_250601,a _ 250 ##60 ##1,PARTICULATE MATTER 25 MICRONS,part ##iculate matter 25 micro ##ns,3,12
1586,C_95007421,c _ 950 ##0 ##7 ##42 ##1,HIGH MOLECULAR WEIGHT SPECIES READING 1,high molecular weight species reading 1,3,14
1587,C_95007424,c _ 950 ##0 ##7 ##42 ##4,UNROUNDED UV CONCENTRATION,un ##rou ##nded uv concentration,3,12
1588,GBL_250580,gb ##l _ 250 ##58 ##0,PROTEIN CONCENTRATION,protein concentration,3,14
1589,D_321C,d _ 321 ##c,TOTAL PARTICLES 10 MICRON,total particles 10 micro ##n,3,12
1590,C_95007424,c _ 950 ##0 ##7 ##42 ##4,PROT CONCENTRATION UV 280 NM_REP 2,pro ##t concentration uv 280 nm _ rep 2,3,12
1591,D_250193,d _ 250 ##19 ##3,PROT CONCENTRATION UV 280 NM_DS,pro ##t concentration uv 280 nm _ ds,3,12
1592,250602,250 ##60 ##2,TOTAL PARTICLE CONTAINER 25 MICRONS,total particle container 25 micro ##ns,3,12
1593,95007424_SYSTEM,950 ##0 ##7 ##42 ##4 _ system,DILUTION BUFFER  ABSORBANCE VALUE,dil ##ution buffer absorb ##ance value,3,12
1594,C_250599,c _ 250 ##59 ##9,PROT CONCENTRATION REP 1 GL,pro ##t concentration rep 1 g ##l,3,14
1595,250684,250 ##6 ##8 ##4,REDUCED LIGHT CHAIN 1DP,reduced light chain 1 ##dp,3,14
1596,M_250602,m _ 250 ##60 ##2,PARTICLES >=25 MICRONS,particles > = 25 micro ##ns,3,8
1597,D_250195,d _ 250 ##19 ##5,TOTAL PARTICLES GTE 10 MICRON,total particles gt ##e 10 micro ##n,3,12
1598,A_250191,a _ 250 ##19 ##1,LOW MOLECULAR WEIGHT SPECIES 1 DECPT,low molecular weight species 1 dec ##pt,3,0
1599,D_95007433,d _ 950 ##0 ##7 ##43 ##3,PARTICULATE MATTER >=10 MICRON,part ##iculate matter > = 10 micro ##n,3,26
1600,D_95011468,d _ 950 ##11 ##46 ##8,BIOASSAY,bio ##ass ##ay,3,30
1601,95007421_SIZE_HOMOG,950 ##0 ##7 ##42 ##1 _ size _ homo ##g,HIGH MOLECULAR WEIGHT SPECIES <=5.5,high molecular weight species < = 5 . 5,3,31
1602,D_95011468,d _ 950 ##11 ##46 ##8,BIOASSAY SPEC_L,bio ##ass ##ay spec _ l,3,30
1603,D_250357,d _ 250 ##35 ##7,HIGH MOLECULAR WEIGHT,high molecular weight,3,30
1604,C_250599,c _ 250 ##59 ##9,PROT CONCENTRATION REP 2 GL,pro ##t concentration rep 2 g ##l,3,30
1605,P_M14652,p _ m1 ##46 ##52,LOW MOLECULAR WEIGHT SPECIES,low molecular weight species,3,0
1606,PARTICLE_MATTER,particle _ matter,TOTAL PARTICLE COUNT 25Âµ,total particle count 25 ##a ##µ,3,12
1607,P_M14652,p _ m1 ##46 ##52,HIGH MOLECULAR WEIGHT SPECIES,high molecular weight species,3,0
1608,P_M15647,p _ m1 ##56 ##47,LOW MOLECULAR WEIGHT SPECIES,low molecular weight species,3,0
1609,250195_PART_MATT,250 ##19 ##5 _ part _ matt,TOTAL PARTICLE CONTAINER 25 MICRONS,total particle container 25 micro ##ns,3,12
1610,M00001099,m ##00 ##00 ##10 ##9 ##9,SUM OF MINOR PEAKS 1 DECPT,sum of minor peaks 1 dec ##pt,3,28
1611,250191,250 ##19 ##1,SIZE HOMOGENEITY HMW SPECIES 1DECPT,size homo ##gen ##eit ##y hm ##w species 1 ##de ##cp ##t,3,0
1612,95011468,950 ##11 ##46 ##8,BIOASSAY 0DP,bio ##ass ##ay 0 ##dp,3,6
1613,Y_250435_CEX,y _ 250 ##43 ##5 _ ce ##x,Acidic Region,acidic region,3,14
1614,C_95007433,c _ 950 ##0 ##7 ##43 ##3,TOTAL PARTICLES PER CONTAINER 25 MICRON,total particles per container 25 micro ##n,3,12
1615,C_250601,c _ 250 ##60 ##1,TOTAL PARTICLES 25 MICRON,total particles 25 micro ##n,3,12
1616,A_250435,a _ 250 ##43 ##5,CHARGE PROFILE (CEX) ACID REG,charge profile ( ce ##x ) acid reg,3,12
1617,C_95009656,c _ 950 ##0 ##9 ##65 ##6,OSMOLALITY READING 3,os ##mo ##lal ##ity reading 3,3,30
1618,250684,250 ##6 ##8 ##4,REDUCED HEAVY CHAIN 1DP,reduced heavy chain 1 ##dp,3,16
