analysis,Attribute_name,class_probabilities,labels,max_prob,label
A_USPO1199,BINDING ACTIVITY (ELISA),[0.9973275661468506],[6],0.9973275661468506,6
A_TOR_EMPLICITI,TOR CON PACK 8-25 HR,"[0.5444924831390381, 0.16152507066726685, 0.10845455527305603, 0.07034575194120407, 0.04341569170355797, 0.01996934600174427, 0.014359508641064167]","[1, 2, 3, 4, 10, 7, 9]",0.5444924831390381,1
A_250491_VC,VOLUME IN CONTAINER 4,"[0.6210857629776001, 0.1569567769765854, 0.09267280250787735, 0.023784995079040527, 0.022695330902934074, 0.02040601149201393, 0.011679221875965595, 0.010745572857558727]","[4, 3, 9, 10, 2, 0, 5, 8]",0.6210857629776001,4
A_95010544,VOLUME IN CONTAINER,"[0.49637719988822937, 0.2757903039455414, 0.08136791735887527, 0.04067232832312584, 0.023988014087080956, 0.023095030337572098, 0.01259588822722435]","[4, 3, 9, 0, 8, 2, 5]",0.49637719988822937,4
Y_250627_ICIEF,Main Peak,[0.9995365142822266],[2],0.9995365142822266,2
Y_M00000094_CESDS-R,Red: Purity heavy and light chain peaks,[0.9619890451431274],[0],0.9619890451431274,0
A_TOR_OPDIVO,TOR CON PACK TOT 8-40,"[0.36706405878067017, 0.2498478889465332, 0.14041604101657867, 0.08525200933218002, 0.060712821781635284, 0.027286410331726074, 0.021389221772551537]","[1, 2, 4, 3, 10, 7, 9]",0.36706405878067017,1
C_5450A,BIOBURDEN 10ML,"[0.3552719056606293, 0.31242674589157104, 0.15567666292190552, 0.05694906413555145, 0.034067049622535706, 0.020108351483941078, 0.013174598105251789, 0.011716724373400211]","[3, 4, 9, 10, 5, 2, 8, 1]",0.3552719056606293,3
A_TOR,TOR LOW RES ANAGNI,"[0.5346230268478394, 0.23641839623451233, 0.09613987803459167, 0.0716242641210556, 0.01271938718855381]","[2, 1, 4, 3, 10]",0.5346230268478394,2
A_250435,BASIC REGION,"[0.6666696071624756, 0.13408896327018738, 0.0420328825712204, 0.03931029513478279, 0.030743738636374474, 0.025855159386992455, 0.015269754454493523]","[2, 4, 3, 10, 9, 1, 7]",0.6666696071624756,2
A_TOR_ORENCIA_SC,TOR PRODOTTO FIN HIGH,"[0.8974345326423645, 0.052560918033123016, 0.02442675083875656]","[3, 2, 1]",0.8974345326423645,3
C_5450A,BIOBURDEN 100ML,"[0.41467633843421936, 0.24083736538887024, 0.1498328447341919, 0.058730822056531906, 0.040327541530132294, 0.021597787737846375, 0.016245162114501, 0.012992854230105877]","[3, 4, 9, 10, 5, 2, 8, 1]",0.41467633843421936,3
A_TOR_ORENCIA_SC,TOR TT4 HIGH ANAGNI,"[0.650459885597229, 0.15209811925888062, 0.11046414077281952, 0.03120936080813408, 0.015259390696883202]","[2, 1, 3, 4, 10]",0.650459885597229,2
A_250624,SEMI-QUANT. PART. 10 ML,"[0.8908896446228027, 0.020227456465363503, 0.015963587909936905, 0.01478905975818634, 0.01309807039797306]","[4, 0, 9, 2, 5]",0.8908896446228027,4
A_250628,ACTIVITY BINDING ELISA,[0.9973363280296326],[6],0.9973363280296326,6
A_95009656_NIVO,OSMOLALITY,"[0.3362504839897156, 0.28426799178123474, 0.1006055548787117, 0.08208702504634857, 0.07520537078380585, 0.04149951785802841, 0.023876093327999115, 0.01174366194754839]","[4, 2, 9, 10, 3, 5, 7, 6]",0.3362504839897156,4
C_5450A,BIOBURDEN ML,"[0.28007271885871887, 0.23561613261699677, 0.12056146562099457, 0.11185775697231293, 0.07149617373943329, 0.052215345203876495, 0.03422160446643829, 0.03291519358754158, 0.015193397179245949]","[9, 5, 4, 3, 10, 2, 8, 1, 7]",0.28007271885871887,9
C_5296A,ENDOTOXIN 15,"[0.5100583434104919, 0.1536000818014145, 0.15206383168697357, 0.08179853856563568, 0.018507346510887146, 0.014876244589686394, 0.01459476351737976, 0.010665582492947578]","[5, 7, 9, 6, 10, 1, 2, 3]",0.5100583434104919,5
A_TOR_EMPLICITI,TOR CON PACK 8-25 TOT,"[0.430836021900177, 0.14012905955314636, 0.1368671953678131, 0.08962327986955643, 0.06613177806138992, 0.044739868491888046, 0.030369943007826805, 0.011142482049763203, 0.009673073887825012]","[1, 3, 4, 2, 10, 7, 9, 5, 8]",0.430836021900177,1
C_5296A,ENDOTOXIN 20,"[0.4655941426753998, 0.17856180667877197, 0.1747814565896988, 0.07255655527114868, 0.02294468693435192, 0.016155509278178215, 0.013617973774671555, 0.010093257762491703]","[5, 9, 7, 6, 10, 1, 2, 3]",0.4655941426753998,5
C_5296A,ENDOTOXIN 10,"[0.537559449672699, 0.17529018223285675, 0.11843205988407135, 0.0713505744934082, 0.0196691881865263, 0.014610965736210346, 0.012719262391328812, 0.008769422769546509]","[5, 9, 7, 6, 10, 2, 1, 3]",0.537559449672699,5
A_TOR_ORENCIA_SC,TOR TT4 HIGH,"[0.5756927728652954, 0.1881987750530243, 0.16296504437923431, 0.018229426816105843, 0.013240812346339226]","[3, 2, 1, 4, 10]",0.5756927728652954,3
R_ABA_SDSPAGESINRED,SDSPAGE Sin Red Banda Mayoritaria,"[0.6596627831459045, 0.2788086235523224, 0.01519946288317442]","[0, 1, 7]",0.6596627831459045,0
C_249491_3,EU_MG_2DP,"[0.6808100342750549, 0.07327114790678024, 0.06386201828718185, 0.04697315767407417, 0.03432220220565796, 0.02764630876481533, 0.022122029215097427, 0.018037373200058937]","[1, 8, 9, 3, 4, 7, 0, 5]",0.6808100342750549,1
C_95007421,HIGH MOLECULAR WEIGHT SPECIES,[0.9943341016769409],[3],0.9943341016769409,3
C_250475,IL2 INHIBITION ASSAY,[0.963165283203125],[5],0.963165283203125,5
C_95007196,PH,[0.9976351261138916],[8],0.9976351261138916,8
A_250491_VC,VOLUME IN CONTAINER 3,"[0.630284309387207, 0.14385545253753662, 0.10005870461463928, 0.02646743506193161, 0.018689293414354324, 0.018463971093297005, 0.011463997885584831, 0.011131895706057549]","[4, 3, 9, 0, 10, 2, 8, 5]",0.630284309387207,4
C_5296A,ENDOTOXIN 1DP,"[0.44550850987434387, 0.2482243925333023, 0.09983942657709122, 0.08669411391019821, 0.02980630472302437, 0.01783323474228382, 0.016180235892534256, 0.011173730716109276]","[5, 7, 6, 9, 1, 0, 2, 10]",0.44550850987434387,5
95007421_SIZE_HOMOG,HIGH MOLECULAR WEIGHT SPECIES <=4.5,[0.9964280724525452],[3],0.9964280724525452,3
249699_ID_ABATAC,MIG TIME ABATACEPT RWS,"[0.5868718028068542, 0.18167515099048615, 0.17326197028160095, 0.011432257480919361]","[1, 3, 2, 4]",0.5868718028068542,1
Y_SM_95009822_R,EC50-7,"[0.3358096182346344, 0.15071344375610352, 0.10895131528377533, 0.1014987975358963, 0.09053303301334381, 0.06992067396640778, 0.06839051842689514, 0.021436745300889015, 0.017081789672374725]","[4, 10, 9, 7, 1, 2, 3, 8, 5]",0.3358096182346344,4
R_EMPLICITI_PARTIC,Particulas >= 10 um,"[0.8200116157531738, 0.0933726355433464, 0.018877582624554634, 0.012604551389813423, 0.009256221354007721]","[4, 1, 2, 7, 9]",0.8200116157531738,4
Y_SM_95007421_R,SIZE HOMOGENEITY HMW SPECIES  1DECPT,[0.997885525226593],[3],0.997885525226593,3
P_M20656,LMW,[0.9975094795227051],[3],0.9975094795227051,3
C_5296A,ENDOTOXIN 5,"[0.4993971586227417, 0.15746234357357025, 0.14813999831676483, 0.09412536770105362, 0.01813395321369171, 0.014215565286576748, 0.014044560492038727, 0.010175623930990696]","[5, 7, 9, 6, 1, 2, 10, 3]",0.4993971586227417,5
A_TOR_ORENCIA_SC,TOR TT4 HIGH COVANCE,"[0.4786880612373352, 0.31095024943351746, 0.11885672062635422, 0.026483546942472458, 0.017567988485097885]","[3, 2, 1, 4, 7]",0.4786880612373352,3
A_TOR_ORENCIA_SC,TOR TT4 LOW ANAGNI,"[0.4198695719242096, 0.3115474283695221, 0.1531229317188263, 0.0455249547958374, 0.01959257200360298, 0.016945604234933853]","[2, 1, 3, 4, 7, 10]",0.4198695719242096,2
A_TOR,TOR HIGH RES ANAGNI,"[0.7820838093757629, 0.0960419550538063, 0.04737833887338638, 0.036586955189704895]","[2, 1, 4, 3]",0.7820838093757629,2
C_95007363,AVERAGE PERCENT LABEL CLAIM,"[0.2875763475894928, 0.2750720977783203, 0.15054680407047272, 0.05877748131752014, 0.04112282767891884, 0.037420883774757385, 0.03529031202197075, 0.03508689999580383, 0.02873561903834343, 0.016976285725831985]","[3, 1, 2, 4, 0, 7, 5, 8, 9, 10]",0.2875763475894928,3
A_TOR_OPDIVO,TOR CON PACK 8-30 MIN,"[0.4932003617286682, 0.17363983392715454, 0.1271672397851944, 0.09480070322751999, 0.050711534917354584, 0.012741451151669025]","[2, 1, 4, 3, 10, 9]",0.4932003617286682,2
A_250593,PEAK M3,"[0.9109311103820801, 0.03520306944847107, 0.016656892374157906]","[2, 1, 4]",0.9109311103820801,2
A_TOR_OPDIVO,TOR CON COC MANATI 8-30 TOT,"[0.47579044103622437, 0.1311626434326172, 0.10074491053819656, 0.08758015930652618, 0.0835551992058754, 0.032730650156736374, 0.01782124489545822, 0.013484052382409573, 0.01078921090811491]","[1, 2, 4, 3, 10, 7, 9, 5, 8]",0.47579044103622437,1
A_250600,POLYSORBATE 80,[0.9526724815368652],[10],0.9526724815368652,10
A_95010544_NIVO,VOLUME 100MG/10ML,"[0.5431891083717346, 0.286599338054657, 0.06186644360423088, 0.02872508391737938, 0.024023469537496567, 0.015411925502121449]","[4, 3, 2, 9, 10, 1]",0.5431891083717346,4
A_TOR_OPDIVO,TOR PROD FINITO 8-25,"[0.25097230076789856, 0.19797851145267487, 0.13850557804107666, 0.11885698139667511, 0.08237079530954361, 0.07547163218259811, 0.061718057841062546, 0.02267192304134369, 0.006981242448091507]","[1, 10, 3, 9, 4, 2, 7, 5, 6]",0.25097230076789856,1
A_TOR_OPDIVO,TOR CON PACK 8-25 MIN,"[0.4594270586967468, 0.1695975661277771, 0.1624755710363388, 0.09140527993440628, 0.052671562880277634, 0.01356868539005518, 0.013152766972780228]","[2, 1, 4, 3, 10, 7, 9]",0.4594270586967468,2
Y_GM_95009656_R,OSMOLALITY (MOSMO/KG),"[0.6932690739631653, 0.13409698009490967, 0.05049224942922592, 0.03115757741034031, 0.02968456782400608, 0.01329552847892046]","[4, 2, 3, 9, 10, 7]",0.6932690739631653,4
A_250626,SUM OF UNDEFINED PEAK,[0.9896855354309082],[2],0.9896855354309082,2
C_95007421,LOW MOLECULAR WEIGHT SPECIES READING 2,[0.9893875122070312],[3],0.9893875122070312,3
C_95009656,OSMOLALITY READING 2,"[0.5168410539627075, 0.1265077441930771, 0.09268937259912491, 0.0829148069024086, 0.05728336423635483, 0.03795239329338074, 0.030974365770816803, 0.01700618676841259]","[9, 2, 4, 5, 10, 7, 3, 6]",0.5168410539627075,9
A_250557,ENDOTOXIN,"[0.5395355224609375, 0.11889275908470154, 0.11276240646839142, 0.1006825864315033, 0.02468234859406948, 0.022229637950658798, 0.019132856279611588, 0.01482057012617588]","[5, 6, 9, 7, 3, 10, 1, 2]",0.5395355224609375,5
A_TOR_ORENCIA_SC,TOR CONSUMATO COC FOR LOW,"[0.5037600994110107, 0.32130733132362366, 0.07818326354026794, 0.033752065151929855, 0.012451492249965668, 0.012339657172560692]","[1, 3, 2, 4, 7, 10]",0.5037600994110107,1
C_95007433,TOTAL  PARTICLES PER CONTAINER 25 MICRON,[0.9891730546951294],[4],0.9891730546951294,4
A_95007421,SIZE HOMOGENEITY HPLC L MW SP 1D NONEU,[0.995882511138916],[3],0.995882511138916,3
A_250192_RED,PURITY (MAJOR BAND),[0.9972869157791138],[0],0.9972869157791138,0
A_250191,HIGH MOLECULAR WEIGHT SPECIES 1 DECPT,[0.9923272728919983],[3],0.9923272728919983,3
A_250195,PARTICULATE MATTER >= 10 MICROMETERS,[0.9900137186050415],[4],0.9900137186050415,4
A_250593,GROUP 1,"[0.5330223441123962, 0.13245029747486115, 0.1017548218369484, 0.05116444081068039, 0.04681333899497986, 0.03367992118000984, 0.029151376336812973, 0.02320815809071064]","[3, 2, 10, 9, 1, 4, 7, 8]",0.5330223441123962,3
A_95010544_NIVO,VOLUME 40MG/4ML,"[0.47410842776298523, 0.3486335277557373, 0.051381923258304596, 0.034116365015506744, 0.02950761280953884, 0.018688956275582314]","[4, 3, 2, 9, 10, 1]",0.47410842776298523,4
A_TOR_EMPLICITI,TOR DEV FIN 8-25 TOT,"[0.4776808023452759, 0.24358363449573517, 0.08522949367761612, 0.05689401552081108, 0.03800656646490097, 0.03074956126511097, 0.026886604726314545]","[3, 1, 4, 2, 9, 7, 10]",0.4776808023452759,3
C_250256_3,EU_MG_2DP,"[0.691129207611084, 0.07781356573104858, 0.05624933913350105, 0.05075298994779587, 0.03551429882645607, 0.01956525631248951, 0.019358152523636818]","[1, 8, 3, 9, 4, 7, 0]",0.691129207611084,1
A_250593,PEAK M4,[0.9732223153114319],[2],0.9732223153114319,2
A_250191,MONOMER 1DECPT,"[0.9314317107200623, 0.020895037800073624]","[3, 9]",0.9314317107200623,3
A_TOR_OPDIVO,TOR CON PACK 8-30 TOT,"[0.45147964358329773, 0.15968118607997894, 0.11637882143259048, 0.10209620743989944, 0.07206892222166061, 0.025477029383182526, 0.0242589320987463]","[1, 2, 4, 3, 10, 9, 7]",0.45147964358329773,1
A_TOR,TOR HIGH RES DA COC,"[0.4239814281463623, 0.3677581548690796, 0.07501406222581863, 0.07040545344352722, 0.012997381389141083]","[1, 2, 3, 4, 10]",0.4239814281463623,1
A_249837,BACTERIAL ENDOTOXINS 2DECPT,"[0.42872026562690735, 0.24412241578102112, 0.10398083180189133, 0.06784923374652863, 0.05060432478785515, 0.024777190759778023, 0.02040678635239601, 0.012722834944725037]","[5, 9, 6, 7, 3, 4, 10, 0]",0.42872026562690735,5
A_250193,PROTEIN CONTENT - UV (A280 NM) 1 DECPT,[0.9916080236434937],[9],0.9916080236434937,9
A_250362,ASPARAGINE DEAMIDATION 1DECPT,"[0.4483596980571747, 0.20214322209358215, 0.11099646240472794, 0.09210240095853806, 0.06609582901000977, 0.01917722262442112, 0.01225308608263731]","[5, 7, 0, 9, 6, 1, 3]",0.4483596980571747,5
A_TOR_OPDIVO,TOR CON PACK 30-40 HR,"[0.49208277463912964, 0.2615891098976135, 0.0904853567481041, 0.05153585597872734, 0.04734044894576073, 0.011497361585497856]","[1, 2, 4, 3, 10, 7]",0.49208277463912964,1
A_TOR_OPDIVO,TOR CON PACK 8-25 HR,"[0.4242849051952362, 0.3061673045158386, 0.08360738307237625, 0.07990892231464386, 0.04679631069302559, 0.013113574124872684]","[1, 2, 3, 4, 10, 7]",0.4242849051952362,1
A_250593,PEAK M1,[0.9631102085113525],[2],0.9631102085113525,2
A_250207,HUMAN CELL IL-2 INHIBITION ASSAY,[0.9766052961349487],[5],0.9766052961349487,5
A_250727,DELIVERED VOLUME,"[0.3210296630859375, 0.22729900479316711, 0.12027591466903687, 0.10329730808734894, 0.08804701268672943, 0.033021457493305206, 0.02228691801428795, 0.01849847286939621, 0.011899747885763645, 0.010388853959739208]","[3, 2, 4, 1, 9, 5, 10, 7, 0, 8]",0.3210296630859375,3
C_250343,GLYCATION,"[0.3028312921524048, 0.18577679991722107, 0.1687346249818802, 0.10097998380661011, 0.0559481680393219, 0.051075529307127, 0.041567616164684296, 0.03884721174836159, 0.01650550402700901]","[9, 8, 5, 7, 0, 4, 2, 10, 1]",0.3028312921524048,9
A_95007433,PARTICULATE MATTER 10 MICRONS,[0.989763617515564],[4],0.989763617515564,4
A_250692,CELL BASED BIOASSAY,[0.9771189093589783],[5],0.9771189093589783,5
A_250599,PROTEIN CONCENTRATION,[0.99290931224823],[9],0.99290931224823,9
A_250627,ICIEF MAIN PEAK,[0.9995275735855103],[2],0.9995275735855103,2
A_TORORENCIA,TOR CONSUMATO DA COC,"[0.4338667392730713, 0.31957554817199707, 0.10386216640472412, 0.03116975724697113, 0.02934299223124981, 0.01561715453863144, 0.014972709119319916, 0.013020728714764118]","[1, 2, 3, 10, 4, 8, 7, 5]",0.4338667392730713,1
A_250186_CU1,VIAL6,"[0.5315795540809631, 0.08612632006406784, 0.08354265987873077, 0.06847387552261353, 0.06291770190000534, 0.054782453924417496, 0.04524312913417816, 0.01857995055615902]","[4, 3, 1, 9, 7, 10, 2, 5]",0.5315795540809631,4
C_250598,LMW,[0.9979627132415771],[3],0.9979627132415771,3
C_250629,RELATIVE POTENCY,"[0.6022757291793823, 0.1677006036043167, 0.1026240661740303, 0.030976828187704086, 0.023893214762210846, 0.022712578997015953]","[5, 7, 6, 0, 1, 9]",0.6022757291793823,5
A_250188,MOISTURE CONTENT 1DECPT,"[0.42151162028312683, 0.24009570479393005, 0.190454363822937, 0.06188834831118584, 0.029491543769836426, 0.011349416337907314]","[0, 8, 9, 4, 3, 5]",0.42151162028312683,0
A_TOR_EMPLICITI,TOR DEV HALB 8-25 HR,"[0.6503251791000366, 0.12522856891155243, 0.11679866164922714, 0.04070214927196503, 0.01702975481748581]","[1, 3, 2, 4, 7]",0.6503251791000366,1
A_250598,HMW,[0.9971856474876404],[3],0.9971856474876404,3
C_95007365,WATER KF,"[0.43088096380233765, 0.35199615359306335, 0.07876136153936386, 0.047265149652957916, 0.030288150534033775, 0.016374411061406136]","[3, 8, 9, 1, 4, 0]",0.43088096380233765,3
C_250593,GROUP 2A,"[0.24592667818069458, 0.2171127051115036, 0.11344389617443085, 0.09389787912368774, 0.07910504192113876, 0.07794124633073807, 0.05233703553676605, 0.0470849983394146, 0.024335971102118492]","[3, 10, 1, 2, 9, 7, 8, 4, 5]",0.24592667818069458,3
A_TOR_OPDIVO,TOR CON DA TT4 TOT 8-40,"[0.4361257255077362, 0.1829363852739334, 0.12129409611225128, 0.0809648260474205, 0.0515751913189888, 0.04286598786711693, 0.016474837437272072, 0.010767608880996704, 0.010637324303388596]","[1, 2, 4, 10, 7, 3, 9, 5, 8]",0.4361257255077362,1
A_250624,SEMI-QUANT.PART. 4 ML,"[0.8720703721046448, 0.021630924195051193, 0.018528267741203308, 0.018483327701687813, 0.015049777925014496, 0.014983408153057098]","[4, 2, 0, 9, 5, 1]",0.8720703721046448,4
C_95010544,VOL IN CONTAINER,"[0.6326776742935181, 0.11300249397754669, 0.05869562551379204, 0.05515957996249199, 0.03474346175789833, 0.03119124099612236, 0.018945733085274696, 0.01565425470471382]","[4, 2, 8, 3, 9, 0, 5, 10]",0.6326776742935181,4
A_250519,B7 BINDING (SURFACE PLASMON RESONANCE),[0.978549063205719],[7],0.978549063205719,7
C_5296A,ENDOTOXIN 1,"[0.4691748023033142, 0.16797973215579987, 0.1379932165145874, 0.12591950595378876, 0.01646670326590538, 0.016016414389014244, 0.013017049990594387, 0.01024078018963337]","[5, 7, 6, 9, 1, 2, 10, 3]",0.4691748023033142,5
C_250599,UNROUNDED UV CONCENTRATION,"[0.6850396990776062, 0.14430522918701172, 0.09306693822145462, 0.018409565091133118, 0.014428375288844109]","[9, 0, 8, 5, 4]",0.6850396990776062,9
C_M00000094,PURITY OF HC AND LC PEAKS,[0.9983488321304321],[0],0.9983488321304321,0
C_250628,RELATIVE BINDING,[0.9734628796577454],[7],0.9734628796577454,7
C_249491_2,EU_MG_2DP,"[0.6947346329689026, 0.06908953189849854, 0.055042166262865067, 0.049202319234609604, 0.0342007540166378, 0.026390980929136276, 0.020600738003849983, 0.017905842512845993]","[1, 8, 9, 3, 4, 7, 0, 5]",0.6947346329689026,1
C_250343,ASPARAGINE DEAMIDATION,"[0.5755890011787415, 0.13065604865550995, 0.09137462079524994, 0.06700937449932098, 0.06459295749664307, 0.01570180617272854, 0.012852941639721394]","[5, 0, 9, 7, 6, 3, 1]",0.5755890011787415,5
C_95007379,RECONSTITUTION TIME,"[0.22627350687980652, 0.20170225203037262, 0.18372786045074463, 0.10281231999397278, 0.08208037912845612, 0.05148806795477867, 0.04358645901083946, 0.036664336919784546, 0.02481439709663391]","[3, 4, 2, 10, 9, 5, 1, 8, 7]",0.22627350687980652,3
A_TOR_EMPLICITI,TOR CON TT4 8-25 HR,"[0.5144120454788208, 0.20658449828624725, 0.10492894053459167, 0.05029013007879257, 0.04051921144127846, 0.030108515173196793, 0.011559614911675453]","[1, 2, 4, 3, 10, 7, 9]",0.5144120454788208,1
A_TOR_OPDIVO,TOR CON PACK 8-25 NO LIGHT TOT,"[0.48048654198646545, 0.16150644421577454, 0.14227259159088135, 0.0721353143453598, 0.048638034611940384, 0.030090253800153732, 0.017536865547299385]","[1, 2, 4, 3, 10, 7, 9]",0.48048654198646545,1
C_250256_2,EU_MG_2DP,"[0.6992738246917725, 0.07412228733301163, 0.05870242044329643, 0.04469647258520126, 0.03566964715719223, 0.018913647159934044, 0.01868162676692009]","[1, 8, 3, 9, 4, 7, 0]",0.6992738246917725,1
A_250362,METHIONINE OXIDATION 1DECPT,"[0.7944353222846985, 0.17111067473888397]","[0, 8]",0.7944353222846985,0
A_250473,GROUP 1 (pl 4.30 - 4.81),"[0.32251426577568054, 0.16474668681621552, 0.15445104241371155, 0.1406715363264084, 0.052756913006305695, 0.051238734275102615, 0.046894412487745285, 0.015085272490978241, 0.011779756285250187]","[3, 4, 10, 1, 9, 2, 7, 8, 5]",0.32251426577568054,3
A_250495_NONRED,SINGLE CHAIN,"[0.3961021900177002, 0.15948386490345, 0.11036425828933716, 0.06847824901342392, 0.06254944950342178, 0.04383863881230354, 0.03880574554204941, 0.03374416008591652, 0.02727775275707245, 0.01894262619316578]","[1, 7, 3, 9, 0, 10, 4, 5, 8, 2]",0.3961021900177002,1
A_TOR_OPDIVO,TOR CON DA TT4 8-30 MIN,"[0.45644816756248474, 0.20337353646755219, 0.14440608024597168, 0.05751144140958786, 0.048548147082328796, 0.024777701124548912, 0.009164543822407722, 0.008857490494847298]","[2, 1, 4, 10, 3, 7, 9, 8]",0.45644816756248474,2
A_TOR_OPDIVO,TOR CON COC MANATI 8-30 MIN,"[0.4087315797805786, 0.19256028532981873, 0.13917076587677002, 0.10166052728891373, 0.06808454543352127, 0.019166812300682068, 0.011208642274141312, 0.01115710474550724]","[2, 1, 4, 3, 10, 7, 5, 9]",0.4087315797805786,2
C_95007423,SDS COOM NONREDUCED MAJOR BAND,[0.9992585778236389],[0],0.9992585778236389,0
C_95007433,TOTAL PARTICLES PER CONTAINER 10 MICRON,[0.9892162084579468],[4],0.9892162084579468,4
C_95007423,SDS COOM REDUCED MAJOR BAND,[0.9993622899055481],[0],0.9993622899055481,0
C_95007421,LOW MOLECULAR WEIGHT SPECIES READING 1,[0.9882993698120117],[3],0.9882993698120117,3
250682,DRUG CONTENT 0DP,"[0.35091105103492737, 0.2420116811990738, 0.23778297007083893, 0.04180029034614563, 0.034002967178821564, 0.023450173437595367, 0.02013382688164711]","[9, 5, 0, 7, 1, 8, 6]",0.35091105103492737,9
250658,PEAK 5 1DP,"[0.7263314127922058, 0.17907185852527618, 0.02891465462744236, 0.014544599689543247, 0.012193308211863041]","[1, 2, 4, 8, 10]",0.7263314127922058,1
A_250601,PARTICULATE MATTER 10 MICRONS,[0.9897193908691406],[4],0.9897193908691406,4
C_95007424,PROT CONTENT UV 280 NM,[0.9901989698410034],[9],0.9901989698410034,9
C_5455A,OSMOLALITY,"[0.268449604511261, 0.23925995826721191, 0.12596681714057922, 0.11898503452539444, 0.08485732227563858, 0.05370562896132469, 0.04074731469154358, 0.015123933553695679, 0.011659086681902409]","[9, 4, 10, 2, 5, 3, 7, 6, 1]",0.268449604511261,9
C_249491_1,EU_MG_2DP,"[0.6479447484016418, 0.07476257532835007, 0.07175824791193008, 0.05366652086377144, 0.04195359721779823, 0.029203584417700768, 0.023697540163993835, 0.021136140450835228]","[1, 8, 9, 3, 4, 7, 0, 5]",0.6479447484016418,1
A_TOR_ORENCIA_FIN,TOR RESIDUO POST PACKAGING,"[0.4786832928657532, 0.29590901732444763, 0.0905965268611908, 0.03826361894607544, 0.026318907737731934, 0.020237376913428307]","[3, 2, 1, 4, 7, 10]",0.4786832928657532,3
A_TOR_FIN,TOR PACKAGING,"[0.7776528596878052, 0.13019095361232758, 0.02370642125606537, 0.018913889303803444]","[3, 2, 4, 1]",0.7776528596878052,3
C_95007421,MONOMER,[0.9842820763587952],[3],0.9842820763587952,3
C_95009656,OSMOLALITY,"[0.42248156666755676, 0.16753725707530975, 0.1055506020784378, 0.08305464684963226, 0.06707147508859634, 0.06656914204359055, 0.023513786494731903, 0.017905419692397118]","[9, 4, 2, 5, 10, 3, 7, 6]",0.42248156666755676,9
C_95007424,PROT CONTENT UV 280 NM_READING 3,[0.9914935827255249],[9],0.9914935827255249,9
A_TOR_FIN,TOR LOW PACKAGING,"[0.8160658478736877, 0.06178191304206848, 0.045848116278648376, 0.03140195831656456]","[3, 2, 1, 4]",0.8160658478736877,3
C_95007424,PROT CONCENTRATION UV 280 NM_REP 1,[0.9926772117614746],[9],0.9926772117614746,9
C_M00000093,SUM OF UNDEFINED PEAKS,[0.9970666766166687],[2],0.9970666766166687,2
C_250692,RELATIVE BIOASSAY,"[0.9173210263252258, 0.02371950075030327, 0.009828314185142517]","[5, 9, 6]",0.9173210263252258,5
A_TOR_FIN,TOR LOW RES PRODOTTO FINITO,"[0.5857756733894348, 0.15992528200149536, 0.14213861525058746, 0.043305810540914536, 0.014761480502784252, 0.011411093175411224]","[3, 2, 1, 4, 7, 9]",0.5857756733894348,3
A_TOR_OPDIVO,TOR PROD FINITO 8-25 NO LIGHT,"[0.30839329957962036, 0.1704612821340561, 0.14784513413906097, 0.09315722435712814, 0.08903935551643372, 0.062453966587781906, 0.06180549040436745, 0.01635141298174858, 0.008244208060204983]","[1, 10, 4, 2, 3, 7, 9, 5, 8]",0.30839329957962036,1
A_TOR_FIN,TOR HIGH PACKAGING,"[0.8213009238243103, 0.09151735156774521, 0.02870781347155571, 0.01835605502128601]","[3, 2, 1, 4]",0.8213009238243103,3
C_250599,PROT CONCENTRATION REP 3 GL,[0.9910513162612915],[9],0.9910513162612915,9
C_250653,TOTAL BIOBURDEN COUNT 1,"[0.46797284483909607, 0.24950751662254333, 0.06727032363414764, 0.06204277276992798, 0.03899605572223663, 0.022089291363954544, 0.022061225026845932, 0.017476676031947136, 0.012837021611630917]","[3, 9, 4, 2, 5, 1, 0, 6, 8]",0.46797284483909607,3
C_250598,MONOMER FILLB02,[0.9556602835655212],[3],0.9556602835655212,3
A_TOR_ORENCIA_FIN,TOR PACKAGING 2DECPT,"[0.7616633772850037, 0.17977051436901093, 0.02101908065378666]","[3, 2, 1]",0.7616633772850037,3
A_TOR_OPDIVO,TOR CON PACK 8-25 NO LIGHT MIN,"[0.2866905927658081, 0.2805432677268982, 0.2145668864250183, 0.08237012475728989, 0.05826171860098839, 0.019824251532554626, 0.014055106788873672]","[2, 1, 4, 3, 10, 7, 9]",0.2866905927658081,2
Y_SM_M00002527_R,RS SDS COO NONREDUCED ADDITIONAL BAND,[0.9991447925567627],[0],0.9991447925567627,0
95007196,PH 1DP,[0.9975662231445312],[8],0.9975662231445312,8
250739,PERCENT RELATIVE POTENCY 0DP,"[0.34664493799209595, 0.2462567389011383, 0.1765860766172409, 0.10766667127609253, 0.0350867323577404, 0.025772057473659515, 0.017029564827680588]","[7, 5, 0, 1, 9, 8, 6]",0.34664493799209595,7
A_TOR_EMPLICITI,TOR DEV FIN 8-25 HR,"[0.3823871910572052, 0.3437059223651886, 0.153849795460701, 0.046756330877542496, 0.018939094617962837, 0.013828068971633911]","[3, 1, 2, 4, 10, 9]",0.3823871910572052,3
