Unnamed: 0,Analysis,Attribute,Standard names,Unnamed: 4
736,bio_particulate_matter,particulate matter (hiac) >= 25 micrometers,particulate-matter >= 25-um,nan
737,particulate_matter,particulate matter (hiac) >= 10 micrometers,particulate-matter >= 10-um,nan
738,bio_particulate_matter,particles >= 25 microns (concentrate),particulate-matter >= 25-um,nan
739,95007433,total  particles per container 25 micron,particulate-matter >= 25-um,nan
740,a_250601,particulate matter 10 microns,particulate-matter >= 10-um,nan
741,250195,hiac equal greater than 25 microns,particulate-matter >= 25-um,nan
742,particulate_matter,sub-visible particulate matter >= 10 micrometers,particulate-matter >= 10-um,nan
743,particulate_matter,sub-visible particulate matter >= 25 micrometers,particulate-matter >= 25-um,nan
744,particulate_matter,subvisible particles (hiac) >= 10 micrometers,particulate-matter >= 10-um,nan
745,particulate_matter_micro_2,particulate matter (microscopy) >= 25 micrometers,particulate-matter >= 25-um,nan
746,particulate_matter_microscopy,microflow imaging >=25 micrometer particle,particulate-matter >= 25-um,nan
747,particulate_matter_microscopy,microflow imaging >=10 - <25 micrometer particle,particulate-matter >= 10-um,nan
748,c_95007433,total  particles per container 10 micron,particulate-matter >= 10-um,nan
749,particulate_matter_microscopy,microflow imaging >=10 micrometer particle,particulate-matter >= 10-um,nan
750,particulate_matter_microscopy,particulate matter (hiac) >=10 micrometers,particulate-matter >= 10-um,nan
751,particulate_matter_microscopy,particulate matter_3>=10-25 micrometers,particulate-matter >= 10-um,nan
752,particulate_matter_microscopy,particulate matter >=10-25 micrometers,particulate-matter >= 10-um,nan
753,a_250601,particulate matter 25 microns,particulate-matter >= 25-um,nan
754,d_250601,total particles 25 micron,particulate-matter >= 25-um,nan
755,c_250602,particles >=25 microns,particulate-matter >= 25-um,nan
756,gbl_250602,particles >=10 microns,particulate-matter >= 10-um,nan
757,c_250601,total particles 10 micron,particulate-matter >= 10-um,nan
758,ce_hplc,cation exchange chromatography acidic peak,cex acidic peaks,nan
759,isoelectric_focusing,icief basic peaks cumulative area,icief basic peaks,nan
760,isoelectric_focusing,icief main peaks cumulative area,icief main peak,nan
761,isoelectric_focusing,icief acidic peaks cumulative area,icief acidic peaks,nan
762,p_m15709,bioassay - cell based,potency by cell-based bioassay,nan
763,rp_hplc,rp-hplc nonpegylated acd28,rp-hplc purity,nan
764,rp_hplc,rp-hplc monopeg purity,rp-hplc purity,nan
765,hplc,rp-hplc unpegylated fgf21,rp-hplc purity,nan
766,rp_hplc,pre-peaks,rp-hplc purity,nan
767,rp_hplc,rp hplc post-peak,rp-hplc purity,nan
768,rp_hplc,rp hplc pre-peak,rp-hplc purity,nan
769,rp_hplc,rp hplc nonpegylated acd28 peak,rp-hplc purity,nan
770,rp_hplc,titer,rp-hplc purity,nan
771,rp_hplc_2,rp hplc/elsd free peg main peak,rp-hplc purity,nan
772,hplc,rp-hplc main peaks,rp-hplc purity,nan
773,rp_hplc,rp hplc unformatted acd28,rp-hplc purity,nan
774,rp_hplc,rp hplc pre peaks,rp-hplc purity,nan
775,rp_hplc,"purity, rp-hplc",rp-hplc purity,nan
776,rp_hplc_2,free peg (rp-hplc),rp-hplc purity,nan
777,rp_hplc,rp-hplc purity (main peak),rp-hplc purity,nan
778,hplc,reversed phase main peak,rp-hplc purity,nan
779,rp_hplc,protein ratio (ipilimumab/nivolumab),rp-hplc purity,nan
780,rp_hplc,residual free drug,rp-hplc purity,nan
781,rp_hplc_2,ree peg - rp hplc/elsd,rp-hplc purity,nan
782,rp_hplc,anti-lag3 peak area,rp-hplc purity,nan
783,hplc,rp-hplc main peaks,rp-hplc purity,nan
784,hplc,rp-hplc post-peaks,rp-hplc purity,nan
785,rp_hplc,rp hplc 938787 methionyl-anti il23,rp-hplc purity,nan
786,hplc,rp hplc 938787acetyl- anti il23,rp-hplc purity,nan
787,y_sm_250196_r,b7 binding  spr,spr binding activity,nan
788,y_sm_95007441_r,b7 binding  spr,spr binding activity,nan
789,y_sm_250519_r,b7 binding spr,spr binding activity,nan
790,y_sm_250196_r,rm b7 binding  spr,spr binding activity,nan
791,y_sm_95007441_r,rm b7 binding  spr,spr binding activity,nan
792,y_sm_250519_r,rm b7 binding spr,spr binding activity,nan
793,cd137_binding_spr_assay,cd137 binding (surface plasmon resonance),spr binding activity,nan
794,b7_binding_biacore_assay,b7 binding (surface plasmon resonance),spr binding activity,nan
795,binding_spr,binding assay spr result (ka1),spr binding activity,nan
796,binding_spr,binding assay spr result (kd1),spr binding activity,nan
797,b7_binding_biacore_assay,b7 binding biacore assay result (surface plasmon resonance),spr binding activity,nan
798,95007441_b7_binding,b7 binding biacore result,spr binding activity,nan
799,95007441_b7_binding,b7 binding biacore result 6,spr binding activity,nan
800,a_250519,b7 binding (surface plasmon resonance),spr binding activity,nan
801,a_250196,b7 binding (surface plasmon resonance),spr binding activity,nan
802,a_95007441,b7 bind. surf. plasm. res. syracuse,spr binding activity,nan
803,b7_binding_biacore_assay,b7 binding (surface plasmon resonance),spr binding activity,nan
804,95007441_b7_binding,b7 binding biacore result,spr binding activity,nan
805,elisa,potency (cell-based bioassay),potency by cell-based bioassay,nan
806,elisa,functional potency by cell-based assay (of reference standar,potency by cell-based bioassay,nan
807,d_250475,il2 inhibition assay,potency by cell-based bioassay,nan
808,d_250207,human cell il-2 inhibition assay,potency by cell-based bioassay,nan
809,potency_1,potency nkg2d (spr),spr binding activity,nan
810,d_m00002527,purity reduced major band,ce-sds (reduced) purity,nan
811,ce_sds,ce sds (non-reduced) monomer,ce-sds (non-reduced) purity,nan
812,ce_sds,ce-sds reduced sum of heavy and light chain peaks,ce-sds (reduced) purity,nan
813,ce_sds,ce-sds (nr) - corrected area% of igg purity,ce-sds (non-reduced) purity,nan
814,ce_sds_2,cge(reduced) purity (lc and hc peaks),ce-sds (reduced) purity,nan
815,ce_sds_2,ce-sds (reduced) purity of heavy and light chain peaks,ce-sds (reduced) purity,nan
816,ce_sds,ce-sds (non-reduced) hhl peak,ce-sds (non-reduced) hhl,nan
817,ce_sds_2,cge (reduced) purity (hc+lc),ce-sds (reduced) purity,nan
818,ce-sds (non-reduced),hhl,ce-sds (non-reduced) hhl,nan
819,ce-sds (non-reduced),purity,ce-sds (non-reduced) purity,nan
820,ce-sds (reduced),purity,ce-sds (reduced) purity,nan
821,sds-page (non-reduced),purity,sds-page (non-reduced) purity,nan
822,sds-page (reduced),purity,sds-page (reduced) purity,nan
823,rp-hplc,purity (main peak),rp-hplc purity,nan
824,ief,acidic peaks,ief acidic peaks,nan
825,ief,basic peaks,ief basic peaks,nan
826,ief,main peak,ief main peak,nan
827,icief,acidic peaks,icief acidic peaks,nan
828,icief,basic peaks,icief basic peaks,nan
829,icief,main peak,icief main peak,nan
830,cex,acidic peaks,cex acidic peaks,nan
831,cex,basic peaks,cex basic peaks,nan
832,cex,main peak,cex main peak,nan
833,aex,acidic peaks,aex acidic peaks,nan
834,aex,basic peaks,aex basic peaks,nan
835,aex,main peak,aex main peak,nan
836,se-hplc,hmw,se-hplc hmw,nan
837,se-hplc,lmw,se-hplc lmw,nan
838,se-hplc,monomer,se-hplc monomer,nan
839,se-uplc,hmw,se-uplc hmw,nan
840,se-uplc,lmw,se-uplc lmw,nan
841,se-uplc,monomer,se-uplc monomer,nan
842,hiac or uv,particulate-matter >= 10-um,particulate-matter >= 10-um,nan
843,hiac or uv,particulate-matter >= 25-um,particulate-matter >= 25-um,nan
844,cell-based bioassay,potency,potency by cell-based bioassay,nan
845,elisa,binding activity or potency,potency by binding elisa,nan
846,spr/biocore,binding activity,spr binding activity,nan
847,ph,ph,ph,nan
848,a280,protein concentration,protein concentration (a280),nan
849,polysorbate 80,polysorbate 80,polysorbate 80,nan
850,ce_sds_2,ce-sds (non-reduced) relative migratiotime of minor peak 5,irrelevant,nan
851,ce_sds,ce-sds (non-reduced) sum of undefined peaks,irrelevant,nan
852,ce_sds_2,ce-sds (non-reduced) sum of minor peaks >loq,irrelevant,nan
853,ce_sds,ce-sds (non-reduced) quantitative limit,irrelevant,nan
854,ce_sds_2,ce-sds (non-reduced) rrt of unknown minor peak <loq 1,irrelevant,nan
855,ce_sds,ce-sds (reduced) minor peaks 6 (>loq),irrelevant,nan
856,ce_sds,ce-sds reduced non-glycosylated peak,irrelevant,nan
857,ce_sds_2,ce-sds (reduced) quantitation limit,irrelevant,nan
858,ce_sds,ce-sds (non-reduced) limit of quantitation,irrelevant,nan
859,ce_sds,ce-sds (reduced) light chain (lc),irrelevant,nan
860,ce_sds,ce-sds (non-reduced) unknown imp rrt 2.46,irrelevant,nan
861,ce_sds,ce-sds (reduced) minor peak 1 nlt loq,irrelevant,nan
862,ce_sds,ce-sds reduced hmw peak,irrelevant,nan
863,ce_sds_2,ce-sds (non-reduced) lc >=lod,irrelevant,nan
864,ce_sds_2,sds-cge (non-reduced) lmw peaks,irrelevant,nan
865,ce_sds,cge (non-reduced) quantitation limit,irrelevant,nan
866,ce_sds,cge (non-reduced) f(ab')2,irrelevant,nan
867,ce_sds,cge (non-reduced) rrt for unknown 1,irrelevant,nan
868,ce_sds_2,cge (reduced) lmw2,irrelevant,nan
869,ce_sds_2,rrt~ 1.406,irrelevant,nan
870,ce_sds,% lmw,irrelevant,nan
871,ce_sds,migration time of minor peak,irrelevant,nan
872,sds_page,nu-page reduced non-main band mw 123 kd,irrelevant,nan
873,sds_page,intensity of major band,irrelevant,nan
874,sds_page,mw of major band relative to ref std,unknown,nan
875,sds_page_2,sds-page (non-reduced) intesity of major band,unknown,nan
876,sds_page,sds-page  (reduced) mw of heavy chain 2,irrelevant,nan
877,sds_page,ce-sds reduced-high molecular weight band,irrelevant,nan
878,sds_page,"sds-page, coomassie stain (non-reduced)",irrelevant,nan
879,sds_page,sds-page (nr) minor band 1 mw=132,irrelevant,nan
880,rp_hplc_2,free peg peg/peg-fgf21,irrelevant,nan
881,rp_uplc,protein ratio (nivolumab/relatlimab),irrelevant,nan
882,rp_hplc,rp hplc post peaks,irrelevant,nan
883,rp_uplc_2,nivolumab:relatlimab protein ratio (rp-uplc),irrelevant,nan
884,hplc,rp-hplc unpegylated fgf21,irrelevant,nan
885,rp_uplc,tryptic rp-uplc m0 oxidation,irrelevant,nan
886,rp_uplc,rp-uplc purity - total % other peaks >= loq,irrelevant,nan
887,protein_concentration_nocalc_2,rp-hplc concentration,irrelevant,nan
888,rp_hplc,anti-lag3 protein concentration,irrelevant,nan
889,isoelectric_focusing,minor bands,irrelevant,nan
890,isoelectric_focusing,ief major bands,irrelevant,nan
891,isoelectric_focusing_2,ief bands,irrelevant,nan
892,ce_hplc,ce uplc acidic group,unknown,nan
893,ce_hplc,ce uplc basic group,unknown,nan
894,ce_hplc,ce uplc main peak,unknown,nan
895,ce_hplc,cex hplc early pre peaks,unknown,nan
896,se_hplc,se-hplc cumulative aggregate,unknown,nan
897,se_hplc,size exclusion chromatography clip,unknown,nan
898,se_hplc,sec-uplc (ides digest) di-clipped species,unknown,nan
899,se_hplc,sec-uplc (ides digest) sum of clipped species,unknown,nan
900,se_hplc,sec-uplc (ides digest) mono-clipped species,unknown,nan
901,se_hplc,dimer [sec dimer],unknown,nan
902,particulate_matter_microscopy,particulate matter  5 - 10 micrometers,irrelevant,nan
903,particulate_matter_microscopy,particulate matter (hiac) >= 2 micrometers,irrelevant,nan
904,p_m15491,particulate matter(hiac)>=3 micrometers,irrelevant,nan
905,p_m15491,particulate matter(hiac)>=5 micrometers,irrelevant,nan
906,us_790_vis_parti,vials with visibles particulates,irrelevant,nan
907,d_250629,relative potency,unknown,nan
908,c_250256_1,highest endotoxin,irrelevant,nan
909,potency_percent_of_initial,average potency (% of initial),unknown,nan
910,protein_concentration_nocalc_2,percent of initial,irrelevant,nan
911,protein_concentration_no_calc,label claim,irrelevant,nan
912,a_95009656,osmolality,irrelevant,nan
0,High-Performance Liquid Chromatography,aex-hplc total acidic peaks,aex acidic peaks,nan
0,hplc,aex-High-Performance Liquid Chromatography total acidic peaks,aex acidic peaks,nan
0,hplc,Anion Exchange-hplc total acidic peaks,aex acidic peaks,nan
1,bio_icief,aex High-Performance Liquid Chromatography-acidic peaks,aex acidic peaks,nan
1,bio_Isoelectric Focusing Capillary Electrophoresis,aex hplc-acidic peaks,aex acidic peaks,nan
1,bio_Isoelectric Focusing Capillary Electrophoresis,aex hplc-acidic peaks,aex acidic peaks,nan
1,bio_icief,Anion Exchange hplc-acidic peaks,aex acidic peaks,nan
2,High-Performance Liquid Chromatography,aex total acidic peaks,aex acidic peaks,nan
2,hplc,Anion Exchange total acidic peaks,aex acidic peaks,nan
3,High-Performance Liquid Chromatography,aex-hplc acidic peaks,aex acidic peaks,nan
3,hplc,aex-High-Performance Liquid Chromatography acidic peaks,aex acidic peaks,nan
3,hplc,Anion Exchange-hplc acidic peaks,aex acidic peaks,nan
4,bio_icief,aex-High-Performance Liquid Chromatography total acidic peaks,aex acidic peaks,nan
4,bio_Isoelectric Focusing Capillary Electrophoresis,aex-hplc total acidic peaks,aex acidic peaks,nan
4,bio_Isoelectric Focusing Capillary Electrophoresis,aex-hplc total acidic peaks,aex acidic peaks,nan
4,bio_icief,Anion Exchange-hplc total acidic peaks,aex acidic peaks,nan
5,bio_icief,aex High-Performance Liquid Chromatography-basic peaks,aex basic peaks,nan
5,bio_Isoelectric Focusing Capillary Electrophoresis,aex hplc-basic peaks,aex basic peaks,nan
5,bio_Isoelectric Focusing Capillary Electrophoresis,aex hplc-basic peaks,aex basic peaks,nan
5,bio_icief,Anion Exchange hplc-basic peaks,aex basic peaks,nan
6,High-Performance Liquid Chromatography,aex-hplc total basic peaks,aex basic peaks,nan
6,hplc,aex-High-Performance Liquid Chromatography total basic peaks,aex basic peaks,nan
6,hplc,Anion Exchange-hplc total basic peaks,aex basic peaks,nan
7,bio_icief,aex-High-Performance Liquid Chromatography total basic peaks,aex basic peaks,nan
7,bio_Isoelectric Focusing Capillary Electrophoresis,aex-hplc total basic peaks,aex basic peaks,nan
7,bio_Isoelectric Focusing Capillary Electrophoresis,aex-hplc total basic peaks,aex basic peaks,nan
7,bio_icief,Anion Exchange-hplc total basic peaks,aex basic peaks,nan
8,High-Performance Liquid Chromatography,aex-hplc basic peaks,aex basic peaks,nan
8,hplc,aex-High-Performance Liquid Chromatography basic peaks,aex basic peaks,nan
8,hplc,Anion Exchange-hplc basic peaks,aex basic peaks,nan
9,High-Performance Liquid Chromatography,aex total basic peaks,aex basic peaks,nan
9,hplc,Anion Exchange total basic peaks,aex basic peaks,nan
10,Isoelectric Focusing Capillary Electrophoresis,aex main peak,aex main peak,nan
10,Isoelectric Focusing Capillary Electrophoresis,aex main peak,aex main peak,nan
10,icief,Anion Exchange main peak,aex main peak,nan
11,bio_icief,aex-High-Performance Liquid Chromatography main peak,aex main peak,nan
11,bio_Isoelectric Focusing Capillary Electrophoresis,aex-hplc main peak,aex main peak,nan
11,bio_Isoelectric Focusing Capillary Electrophoresis,aex-hplc main peak,aex main peak,nan
11,bio_icief,Anion Exchange-hplc main peak,aex main peak,nan
12,Isoelectric Focusing Capillary Electrophoresis_2,aex main peak,aex main peak,nan
12,Isoelectric Focusing Capillary Electrophoresis_2,aex main peak,aex main peak,nan
12,icief_2,Anion Exchange main peak,aex main peak,nan
13,bio_icief,aex High-Performance Liquid Chromatography- main peak,aex main peak,nan
13,bio_Isoelectric Focusing Capillary Electrophoresis,aex hplc- main peak,aex main peak,nan
13,bio_Isoelectric Focusing Capillary Electrophoresis,aex hplc- main peak,aex main peak,nan
13,bio_icief,Anion Exchange hplc- main peak,aex main peak,nan
14,High-Performance Liquid Chromatography,aex main peak,aex main peak,nan
14,hplc,Anion Exchange main peak,aex main peak,nan
15,High-Performance Liquid Chromatography,aex-hplc main peak,aex main peak,nan
15,hplc,aex-High-Performance Liquid Chromatography main peak,aex main peak,nan
15,hplc,Anion Exchange-hplc main peak,aex main peak,nan
16,bio_Isoelectric Focusing Capillary Electrophoresis,aex main peak,aex main peak,nan
16,bio_Isoelectric Focusing Capillary Electrophoresis,aex main peak,aex main peak,nan
16,bio_icief,Anion Exchange main peak,aex main peak,nan
17,Capillary Electrophoresis_sds_2,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
17,ce_sds_2,Capillary Electrophoresis-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
17,ce_Sodium Dodecyl Sulfate_2,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
17,ce_sds_2,ce-Sodium Dodecyl Sulfate (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
17,ce_sds_2,ce-sds (non-reduced) Heavy-Heavy-Light,ce-sds (non-reduced) hhl,nan
18,Capillary Electrophoresis_sds,[ce-sds (non-reduced) a(hhl)],ce-sds (non-reduced) hhl,nan
18,ce_Sodium Dodecyl Sulfate,[ce-sds (non-reduced) a(hhl)],ce-sds (non-reduced) hhl,nan
18,ce_sds,[ce-Sodium Dodecyl Sulfate (non-reduced) a(hhl)],ce-sds (non-reduced) hhl,nan
19,Capillary Electrophoresis_sds,ce-sds (non-reduced) hhl area %,ce-sds (non-reduced) hhl,nan
19,ce_sds,Capillary Electrophoresis-sds (non-reduced) hhl area %,ce-sds (non-reduced) hhl,nan
19,ce_Sodium Dodecyl Sulfate,ce-sds (non-reduced) hhl area %,ce-sds (non-reduced) hhl,nan
19,ce_sds,ce-Sodium Dodecyl Sulfate (non-reduced) hhl area %,ce-sds (non-reduced) hhl,nan
19,ce_sds,ce-sds (non-reduced) Heavy-Heavy-Light area %,ce-sds (non-reduced) hhl,nan
20,Capillary Electrophoresis_sds,ce-sds (non-reduced) a(hhl),ce-sds (non-reduced) hhl,nan
20,ce_sds,Capillary Electrophoresis-sds (non-reduced) a(hhl),ce-sds (non-reduced) hhl,nan
20,ce_Sodium Dodecyl Sulfate,ce-sds (non-reduced) a(hhl),ce-sds (non-reduced) hhl,nan
20,ce_sds,ce-Sodium Dodecyl Sulfate (non-reduced) a(hhl),ce-sds (non-reduced) hhl,nan
21,Capillary Electrophoresis_sds,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
21,ce_sds,Capillary Electrophoresis-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
21,ce_Sodium Dodecyl Sulfate,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
21,ce_sds,ce-Sodium Dodecyl Sulfate (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
21,ce_sds,ce-sds (non-reduced) Heavy-Heavy-Light,ce-sds (non-reduced) hhl,nan
22,Capillary Electrophoresis_sds_2,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
22,ce_sds_2,Capillary Electrophoresis-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
22,ce_Sodium Dodecyl Sulfate_2,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
22,ce_sds_2,ce-Sodium Dodecyl Sulfate (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
22,ce_sds_2,ce-sds (non-reduced) Heavy-Heavy-Light,ce-sds (non-reduced) hhl,nan
23,bio_Capillary Electrophoresis-sds_nr,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
23,bio_ce-sds_nr,Capillary Electrophoresis-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
23,bio_ce-Sodium Dodecyl Sulfate_nr,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
23,bio_ce-sds_nr,ce-Sodium Dodecyl Sulfate (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
23,bio_ce-sds_nr,ce-sds (non-reduced) Heavy-Heavy-Light,ce-sds (non-reduced) hhl,nan
24,Capillary Electrophoresis_sds,ce-sds (non-reduced) ahhl,ce-sds (non-reduced) hhl,nan
24,ce_sds,Capillary Electrophoresis-sds (non-reduced) ahhl,ce-sds (non-reduced) hhl,nan
24,ce_Sodium Dodecyl Sulfate,ce-sds (non-reduced) ahhl,ce-sds (non-reduced) hhl,nan
24,ce_sds,ce-Sodium Dodecyl Sulfate (non-reduced) ahhl,ce-sds (non-reduced) hhl,nan
25,Capillary Electrophoresis_sds,"ce-sds (non-reduced) sum of a(lgg), a(lc) and a(hhl)",ce-sds (non-reduced) hhl,nan
25,ce_sds,"Capillary Electrophoresis-sds (non-reduced) sum of a(lgg), a(lc) and a(hhl)",ce-sds (non-reduced) hhl,nan
25,ce_Sodium Dodecyl Sulfate,"ce-sds (non-reduced) sum of a(lgg), a(lc) and a(hhl)",ce-sds (non-reduced) hhl,nan
25,ce_sds,"ce-Sodium Dodecyl Sulfate (non-reduced) sum of a(lgg), a(lc) and a(hhl)",ce-sds (non-reduced) hhl,nan
26,bio_Capillary Electrophoresis-sds_nr,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
26,bio_ce-sds_nr,Capillary Electrophoresis-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
26,bio_ce-Sodium Dodecyl Sulfate_nr,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
26,bio_ce-sds_nr,ce-Sodium Dodecyl Sulfate (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
26,bio_ce-sds_nr,ce-sds (non-reduced) Heavy-Heavy-Light,ce-sds (non-reduced) hhl,nan
27,Capillary Electrophoresis_sds,ce-sds (non-reduced) hhl peak,ce-sds (non-reduced) hhl,nan
27,ce_sds,Capillary Electrophoresis-sds (non-reduced) hhl peak,ce-sds (non-reduced) hhl,nan
27,ce_Sodium Dodecyl Sulfate,ce-sds (non-reduced) hhl peak,ce-sds (non-reduced) hhl,nan
27,ce_sds,ce-Sodium Dodecyl Sulfate (non-reduced) hhl peak,ce-sds (non-reduced) hhl,nan
27,ce_sds,ce-sds (non-reduced) Heavy-Heavy-Light peak,ce-sds (non-reduced) hhl,nan
28,Capillary Electrophoresis_sds_2,ce-sds (non-reduced) hhl >=lod,ce-sds (non-reduced) hhl,nan
28,ce_sds_2,Capillary Electrophoresis-sds (non-reduced) hhl >=lod,ce-sds (non-reduced) hhl,nan
28,ce_Sodium Dodecyl Sulfate_2,ce-sds (non-reduced) hhl >=lod,ce-sds (non-reduced) hhl,nan
28,ce_sds_2,ce-Sodium Dodecyl Sulfate (non-reduced) hhl >=lod,ce-sds (non-reduced) hhl,nan
28,ce_sds_2,ce-sds (non-reduced) Heavy-Heavy-Light >=lod,ce-sds (non-reduced) hhl,nan
29,Capillary Electrophoresis_sds_2,ce-sds (non-reduced) hhl>=lod,ce-sds (non-reduced) hhl,nan
29,ce_sds_2,Capillary Electrophoresis-sds (non-reduced) hhl>=lod,ce-sds (non-reduced) hhl,nan
29,ce_Sodium Dodecyl Sulfate_2,ce-sds (non-reduced) hhl>=lod,ce-sds (non-reduced) hhl,nan
29,ce_sds_2,ce-Sodium Dodecyl Sulfate (non-reduced) hhl>=lod,ce-sds (non-reduced) hhl,nan
30,Capillary Electrophoresis_sds_2,ce-sds (non-reduced) minor peak 2(hhl) >dl,ce-sds (non-reduced) hhl,nan
30,ce_sds_2,Capillary Electrophoresis-sds (non-reduced) minor peak 2(hhl) >dl,ce-sds (non-reduced) hhl,nan
30,ce_Sodium Dodecyl Sulfate_2,ce-sds (non-reduced) minor peak 2(hhl) >dl,ce-sds (non-reduced) hhl,nan
30,ce_sds_2,ce-Sodium Dodecyl Sulfate (non-reduced) minor peak 2(hhl) >dl,ce-sds (non-reduced) hhl,nan
31,Capillary Electrophoresis_sds_3,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
31,ce_sds_3,Capillary Electrophoresis-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
31,ce_Sodium Dodecyl Sulfate_3,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
31,ce_sds_3,ce-Sodium Dodecyl Sulfate (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
31,ce_sds_3,ce-sds (non-reduced) Heavy-Heavy-Light,ce-sds (non-reduced) hhl,nan
32,Capillary Electrophoresis_sds_2,ce-sds (non-reduced) migration time of minor peak 2(hhl),ce-sds (non-reduced) hhl,nan
32,ce_sds_2,Capillary Electrophoresis-sds (non-reduced) migration time of minor peak 2(hhl),ce-sds (non-reduced) hhl,nan
32,ce_Sodium Dodecyl Sulfate_2,ce-sds (non-reduced) migration time of minor peak 2(hhl),ce-sds (non-reduced) hhl,nan
32,ce_sds_2,ce-Sodium Dodecyl Sulfate (non-reduced) migration time of minor peak 2(hhl),ce-sds (non-reduced) hhl,nan
33,Capillary Electrophoresis_sds,ce-sds (non-reduced) a(hhl,ce-sds (non-reduced) hhl,nan
33,ce_sds,Capillary Electrophoresis-sds (non-reduced) a(hhl,ce-sds (non-reduced) hhl,nan
33,ce_Sodium Dodecyl Sulfate,ce-sds (non-reduced) a(hhl,ce-sds (non-reduced) hhl,nan
33,ce_sds,ce-Sodium Dodecyl Sulfate (non-reduced) a(hhl,ce-sds (non-reduced) hhl,nan
34,Capillary Electrophoresis_sds,ce-sds (non-reduced) hhl >=lod,ce-sds (non-reduced) hhl,nan
34,ce_sds,Capillary Electrophoresis-sds (non-reduced) hhl >=lod,ce-sds (non-reduced) hhl,nan
34,ce_Sodium Dodecyl Sulfate,ce-sds (non-reduced) hhl >=lod,ce-sds (non-reduced) hhl,nan
34,ce_sds,ce-Sodium Dodecyl Sulfate (non-reduced) hhl >=lod,ce-sds (non-reduced) hhl,nan
34,ce_sds,ce-sds (non-reduced) Heavy-Heavy-Light >=lod,ce-sds (non-reduced) hhl,nan
35,Capillary Electrophoresis_sds,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
35,ce_sds,Capillary Electrophoresis-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
35,ce_Sodium Dodecyl Sulfate,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
35,ce_sds,ce-Sodium Dodecyl Sulfate (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
35,ce_sds,ce-sds (non-reduced) Heavy-Heavy-Light,ce-sds (non-reduced) hhl,nan
36,Capillary Electrophoresis_sds,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
36,ce_sds,Capillary Electrophoresis-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
36,ce_Sodium Dodecyl Sulfate,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
36,ce_sds,ce-Sodium Dodecyl Sulfate (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
36,ce_sds,ce-sds (non-reduced) Heavy-Heavy-Light,ce-sds (non-reduced) hhl,nan
37,bio_Capillary Electrophoresis-sds_nr,ce-sds (non-reduced) purity,ce-sds (non-reduced) purity,nan
37,bio_ce-sds_nr,Capillary Electrophoresis-sds (non-reduced) purity,ce-sds (non-reduced) purity,nan
37,bio_ce-Sodium Dodecyl Sulfate_nr,ce-sds (non-reduced) purity,ce-sds (non-reduced) purity,nan
37,bio_ce-sds_nr,ce-Sodium Dodecyl Sulfate (non-reduced) purity,ce-sds (non-reduced) purity,nan
38,Capillary Electrophoresis_sds,ce-sds (non-reduced) %purity,ce-sds (non-reduced) purity,nan
38,ce_sds,Capillary Electrophoresis-sds (non-reduced) %purity,ce-sds (non-reduced) purity,nan
38,ce_Sodium Dodecyl Sulfate,ce-sds (non-reduced) %purity,ce-sds (non-reduced) purity,nan
38,ce_sds,ce-Sodium Dodecyl Sulfate (non-reduced) %purity,ce-sds (non-reduced) purity,nan
39,Capillary Electrophoresis_sds,"ce-sds (non-reduced),unknown impurity, rrt 2.06",ce-sds (non-reduced) purity,nan
39,ce_sds,"Capillary Electrophoresis-sds (non-reduced),unknown impurity, rrt 2.06",ce-sds (non-reduced) purity,nan
