,Analysis,Attribute,Standard names
270,BIO_ICIEF,ICIEF MAIN PEAK RELATLIMAB (% OF CUMULATIVE AREA),ICIEF MAIN PEAK
271,ICIEF,ICIEF (CHARGE HETEROGENEITY) MAIN PEAK,ICIEF MAIN PEAK
272,BIO_ICIEF,ICIEF MAIN PEAK AREA (RELATLIMAB),ICIEF MAIN PEAK
273,BIO_ICIEF,ICIEF MAIN PEAK ,ICIEF MAIN PEAK
274,ICIEF,ICIEF (MAIN PEAKS CUMULATIVE AREA) IPI,ICIEF MAIN PEAK
275,ICIEF,ICIEF MAIN PEAKS NIVO CUMULATIVE AREA,ICIEF MAIN PEAK
276,ICIEF,ICIEF (MAIN PEAK CUMULATIVE AREA),ICIEF MAIN PEAK
277,ICIEF,ICIEF (MAIN PEAKS CUMULATIVE AREA) NIVO,ICIEF MAIN PEAK
278,ICIEF_2,ICIEF MAIN PEAK AREA,ICIEF MAIN PEAK
279,ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA BMS 986016,ICIEF MAIN PEAK
280,BIO_ICIEF,ICIEF MAIN PEAK,ICIEF MAIN PEAK
281,ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA BMS 936558,ICIEF MAIN PEAK
282,ICIEF,ICIEF MAIN PEAK PI,ICIEF MAIN PEAK
283,BIO_ICIEF,MAIN PEAK [ICIEF ALAG3 MAIN PEAK AREA],ICIEF MAIN PEAK
284,BIO_ICIEF,ICIEF MAIN PEAK NIVOLUMAB (% OF CUMULATIVE AREA),ICIEF MAIN PEAK
285,ICIEF_2,ICIEF MAIN PEAK CUMULATIVE AREA,ICIEF MAIN PEAK
286,BIO_ICIEF,CIEF ACIDIC PEAKS,ICIEF ACIDIC PEAKS
287,ICIEF,CIEF ACIDIC PEAKS CUMULATIVE AREA BMS 986016,ICIEF ACIDIC PEAKS
288,ICIEF,CIEF ACIDIC PEAKS,ICIEF ACIDIC PEAKS
289,ISOELECTRIC_FOCUSING,IEF ACIDIC PEAKS (PRE PEAKS),IEF ACIDIC PEAKS
290,ICIEF,CIEF BASIC PEAKS CUMULATIVE AREA BMS 986016,ICIEF BASIC PEAKS
291,ICIEF,CIEF BASIC PEAKS,ICIEF BASIC PEAKS
292,ISOELECTRIC_FOCUSING,IEF BASIC PEAKS (POST PEAKS),IEF BASIC PEAKS
293,BIO_ICIEF,CIEF BASIC PEAKS,ICIEF BASIC PEAKS
294,BIO_ICIEF,CIEF MAIN PEAK,ICIEF MAIN PEAK
295,ISOELECTRIC_FOCUSING,Area% main peak,IEF MAIN PEAK
296,ISOELECTRIC_FOCUSING,Sum area% basic peaks,IEF BASIC PEAKS
297,ISOELECTRIC_FOCUSING,Sum area% acidic peaks,IEF ACIDIC PEAKS
298,ISOELECTRIC_FOCUSING,Sum Area% main peak,IEF MAIN PEAK
299,ISOELECTRIC_FOCUSING,Sum Area% basic peak,IEF BASIC PEAKS
300,ISOELECTRIC_FOCUSING,Sum Area% acidic peak,IEF ACIDIC PEAKS
301,ISOELECTRIC_FOCUSING,IEF MAIN PEAK,IEF MAIN PEAK
302,ICIEF,CIEF MAIN PEAK,ICIEF MAIN PEAK
303,SE_HPLC,SIZE EXCLUSION CHROMATOGRAPHY LMW,SE-HPLC LMW
304,SE_HPLC,SIZE EXCLUSION CHROMATOGRAPHY HMW,SE-HPLC HMW
305,BIOASSAY,MICROSPHERE RELATIVE POTENCY,POTENCY BY CELL-BASED BIOASSAY
306,PH,PH (25 ÃÂ±3OC),PH
307,PH,TEMPERATURE (PH),PH
308,SE_HPLC,SIZE EXCLUSION CHROMATOGRAPHY MONOMER,SE-HPLC MONOMER
309,PH,INDIVIDUAL PH (MEASURED AT 25 DEGREE C),PH
310,PH,PH (MEASURED AT 25 DEGREE C),PH
311,PH,PH ,PH
312,PH,INDIVIDUAL PH ,PH
313,PH,PH,PH
314,PH,PH / 2,PH
315,PH,[INDIVIDUAL PH],PH
316,SE_HPLC,SIZE EXCLUSION CHROMATOGRAPHY AREA% SUM HMWP,SE-HPLC HMW
317,PH,PH / 1,PH
318,SE_HPLC,SIZE EXCLUSION CHROMATOGRAPHY AREA% SUM LMWP,SE-HPLC LMW
319,PH,INIDIVIDUAL PH (MEASURED AT 25 DEGREE C),PH
320,PH,PH (MEASURED AT 25 DEGREE),PH
321,PH,INDIVIDUAL PH (MEASURED AT 25 DEGREEC),PH
322,PH,INDIVIDUAL PH/1,PH
323,PH,PH / 3,PH
324,PH, PH,PH
325,PH,PH INDIVIDUAL,PH
326,PH,PH READING 1 (INDIVIDUAL READING),PH
327,PH,PH 2,PH
328,PH,PH (USP <791> EP: 2.2.3),PH
329,PH,INDIVIDUAL PH (USP <791> EP: 2.2.3),PH
330,PH,PH (22 TO 28 DEG C),PH
331,PH,PH 1,PH
332,SE_HPLC,SIZE EXCLUSION CHROMATOGRAPHY HMWP,SE-HPLC HMW
333,SE_HPLC,SIZE EXCLUSION CHROMATOGRAPHY LMWP,SE-HPLC LMW
334,PH,INIDIVIDUAL PH,PH
335,SE_HPLC,SIZE EXCLUSION CHROMATOGRAPHY AREA% SUM HMW,SE-HPLC HMW
336,SE_HPLC,SIZE EXCLUSION CHROMATOGRAPHY AREA% SUM LMW,SE-HPLC LMW
337,PH,PH AVERAGE,PH
338,SE_HPLC,SIZE EXCLUSION CHROMATOGRAPHY AREA% MONOMER,SE-HPLC MONOMER
339,PH,PH READING 2 (INDIVIDUAL READING),PH
340,PH,PH DETERMINATION AT 25ÃÂ°C,PH
341,PH,AVERAGE PH / PH,PH
342,PH,PH INDIVIDUAL,PH
343,C_JP_PH,PH,PH
344,GBL_95007196,PH,PH
345,M_95007196,PH,PH
346,C_95007196,PH,PH
347,A_USPO156,PH 1DECPT,PH
348,Y_95007196_PH,PH,PH
349,A_95007196,PH 1DECPT,PH
350,Y_250432_PH,PH AT 4 +/ -1 DEGREE C,PH
351,Y_SM_250432_R,PH 1 DECPT,PH
352,D_M00003071,PH,PH
353,D_JP_PH,PH,PH
354,P_M12568,PH,PH
355,T_95007196_PH,PH,PH
356,J_JP_PH,PH,PH
357,D_250432,PH,PH
358,P_M20687,PH,PH
359,Y_JP_PH,JP PH,PH
360,P_7196,PH,PH
361,95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 1,PH
362,P_M15788,PH,PH
363,Y_USPO156_PH,PH,PH
364,R_PH,VALOR DE PH,PH
365,95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 3,PH
366,95007196_PH_BUFF,BUFFER PH,PH
367,Y_GM_95007196_R,PH 1DECPT,PH
368,95007196_PH,PH,PH
369,D_95007196,PH,PH
370,PH,PH REP,PH
371,95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 2,PH
372,J_TC-B-P16,PH,PH
373,JP_PH,PH,PH
374,PH,INDIVIDUAL PH (AT 25+/-3 DEG C),PH
375,PH,INDIVIDUAL PH,PH
376,PH,AVERAGE PH,PH
377,PH,INDIVIDUAL PH,PH
378,PH,PH (AT 25+/-3 DEG C),PH
379,PH_2,PH,PH
380,PH,PH,PH
381,J_TC-B-P15,PH,PH
382,HPLC,POLYSORBATE 80,POLYSORBATE 80
383,Y_SM_250742_R,POLYSORBATE 80 2 DECPT,POLYSORBATE 80
384,POLYSORBATE_80,POLYSORBATE 80 CONTENT,POLYSORBATE 80
385,D_250600,POLYSORBATE 80,POLYSORBATE 80
386,P_M20812,POLYSORBATE 80,POLYSORBATE 80
387,BIOLOGICAL_ASSAY,POLYSORBATE 80,POLYSORBATE 80
388,POLYSORBATE_80,POLYSORBATE 80,POLYSORBATE 80
389,POLYSORBATE_80,POLYSORBATE 80 (PS80),POLYSORBATE 80
390,POLYSORBATE_80,POLYSORBATE 80 ,POLYSORBATE 80
391,C_250600,POLYSORBATE 80,POLYSORBATE 80
392,M_250742,POLYSORBATE 80,POLYSORBATE 80
393,M_250742,POLYSORBATE 80,POLYSORBATE 80
394,A_250600,POLYSORBATE 80,POLYSORBATE 80
395,ELISA_2,POTENCY (ELISA),POTENCY BY BINDING ELISA
396,ELISA_2,BINDING ACTIVITY (ELISA) RELATIVE TO REFERENCE STANDARD,POTENCY BY BINDING ELISA
397,ELISA_BINDING,POTENCY (ELISA) RELATIVE TO REFERENCE STD (RESULT),POTENCY BY BINDING ELISA
398,ELISA_BINDING_2,BINDING POTENCY OF NIVO (ELISA),POTENCY BY BINDING ELISA
399,ELISA,POTENCY BY BINDING ELISA,POTENCY BY BINDING ELISA
400,ELISA_BINDING,BINDING POTENCY OF IPI (ELISA),POTENCY BY BINDING ELISA
401,ELISA_2,POTENCY ELISA RELATIVE TO REFERENCE STANDARD,POTENCY BY BINDING ELISA
402,ELISA_BINDING,POTENCY (ELISA) CD3,POTENCY BY BINDING ELISA
403,ELISA_BINDING_2,POTENCY (ELISA) FCRH5,POTENCY BY BINDING ELISA
404,ACTIVITY_ELISA,BINDING ACTIVITY BY ELISA,POTENCY BY BINDING ELISA
405,ELISA_BINDING,ELISA BINDING POTENCY (TOXIN ON MAB),POTENCY BY BINDING ELISA
406,ELISA_BINDING,POTENCY (ELISA) BINDING CAPACITY RELATIVE TO REFERENCE STAND,POTENCY BY BINDING ELISA
407,ELISA_2,POTENCY (ELISA) FCRH5,POTENCY BY BINDING ELISA
408,ELISA,POTENCY (ELISA) CD3,POTENCY BY BINDING ELISA
409,ELISA_BINDING,POTENCY (ELISA) FCRH5,POTENCY BY BINDING ELISA
410,ELISA_BINDING_2,POTENCY (ELISA),POTENCY BY BINDING ELISA
411,ELISA_BINDING_2,POTENCY (ELISA) CD3,POTENCY BY BINDING ELISA
412,ELISA_BINDING,BINDING ACTIVITY ELISA,POTENCY BY BINDING ELISA
413,ELISA_2,POTENCY BINDING ELISA (RELATIVE POTENCY),POTENCY BY BINDING ELISA
414,ELISA,BINDING ACTIVITY ELISA,POTENCY BY BINDING ELISA
415,ELISA_BINDING,POTENCY BY ELISA,POTENCY BY BINDING ELISA
416,ELISA_BINDING,BINDING ELISA (POTENCY),POTENCY BY BINDING ELISA
417,ACTIVITY_ELISA,BINDING ACTIVITY (ELISA) RELATIVE TO REFERENCE STANDARD,POTENCY BY BINDING ELISA
418,ELISA_BINDING,RELATIVE BINDING ACTIVITY (ELISA),POTENCY BY BINDING ELISA
419,ELISA,RELATIVE POTENCY (ELISA),POTENCY BY BINDING ELISA
420,ELISA_BINDING,ELISA BINDING ACTIVITY RELATIVE TO REFERENCE STANDARD,POTENCY BY BINDING ELISA
421,ELISA,POTENCY (ELISA) BINDING CAPACITY RELATIVE TO REFERENCE STAND,POTENCY BY BINDING ELISA
422,ELISA,POTENCY BY ELISA RELATIVE TO THE REFERENCE STANDARD,POTENCY BY BINDING ELISA
423,ELISA_BINDING,BINDING ACTIVITY(ELISA) NIVOLUMAB(RELATIVE TO REF. STANDARD),POTENCY BY BINDING ELISA
424,ELISA,POTENCY (ELISA) NIVOLUMAB,POTENCY BY BINDING ELISA
425,ELISA_2,BINDING ACTIVITY (ELISA) NIVOLUMAB (RELATIVE TO REF STD),POTENCY BY BINDING ELISA
426,ELISA,BINDING ACTIVITY (ELISA) IPILIMUMAB,POTENCY BY BINDING ELISA
427,C_250685,SLAMF7 BINDING ELISA RELATIVE POTENCY,POTENCY BY BINDING ELISA
428,M_250685,SLAMF7 BINDING ELISA RELATIVE POTENCY,POTENCY BY BINDING ELISA
429,A_USPO1199,BINDING ACTIVITY (ELISA),POTENCY BY BINDING ELISA
430,ELISA,POTENCY BINDING ELISA (RELATIVE POTENCY),POTENCY BY BINDING ELISA
431,ELISA_BINDING,POTENCY (ELISA),POTENCY BY BINDING ELISA
432,ELISA_BINDING,POTENCY (ELISA) (RESULT),POTENCY BY BINDING ELISA
433,A_250629,POTENCY ELISA,POTENCY BY BINDING ELISA
434,Y_250398_BDA,BINDING ACTIVITY [ELISA],POTENCY BY BINDING ELISA
435,ELISA_2,POTENCY ELISA,POTENCY BY BINDING ELISA
436,Y_USPO8224_PTE,POTENCY ELISA,POTENCY BY BINDING ELISA
437,ACTIVITY_ELISA,BINDING ACTIVITY (ELISA),POTENCY BY BINDING ELISA
438,ELISA_2,POTENCY ELISA RELATIVE TO RREFERENCE STANDARD,POTENCY BY BINDING ELISA
439,ELISA,POTENCY (ELISA),POTENCY BY BINDING ELISA
440,ELISA_2,POTENCY BCMA (ELISA),POTENCY BY BINDING ELISA
441,D_250398,BINDING ACTIVITY (ELISA),POTENCY BY BINDING ELISA
442,ELISA_BINDING,POTENCY (BINDING ELISA),POTENCY BY BINDING ELISA
443,ELISA,POTENCY ELISA,POTENCY BY BINDING ELISA
444,ELISA,POTENCY ELISA RELATIVE TO REFERENCE STANDARD,POTENCY BY BINDING ELISA
445,ELISA,POTENCY ELISA RELATIVE TO RREFERENCE STANDARD,POTENCY BY BINDING ELISA
446,ELISA_BINDING,POTENCY (ELISA) NIVOLUMBA,POTENCY BY BINDING ELISA
447,ELISA_3,BINDING ACTIVITY (ELISA) IPILIMUMAB,POTENCY BY BINDING ELISA
448,ELISA_BINDING,POTENCY ELISA,POTENCY BY BINDING ELISA
449,ELISA_2,BINDING ACTIVITY (ELISA) NIVOLUMAB,POTENCY BY BINDING ELISA
450,ELISA_4,BINDING ACTIVITY (ELISA) NIVOLUMAB,POTENCY BY BINDING ELISA
451,ELISA_BINDING,BINDING ACTIVITY (ELISA),POTENCY BY BINDING ELISA
452,ELISA_BINDING,RELATIVE POTENCY BY TARGET BINDING ELISA (OF REFERENCE STAND,POTENCY BY BINDING ELISA
453,ELISA_BINDING,POTENCY BY BLOCKING ELISA,POTENCY BY BINDING ELISA
454,ELISA_BINDING,POTENCY (ELISA) - RELATIVE TO REFERENCE STD (RESULT),POTENCY BY BINDING ELISA
455,ELISA_BINDING,BINDING ACTIVITY BY ELISA RELATIVE TO REFERENCE STANDARD,POTENCY BY BINDING ELISA
456,ELISA_BINDING,POTENCY (ELISA) NIVOLUMAB,POTENCY BY BINDING ELISA
457,Y_USPO12121_PTE,POTENCY ELISA,POTENCY BY BINDING ELISA
458,ELISA_2,RELATIVE POTENCY BY TARGET BINDING ELISA (OF REFERENCE STAND,POTENCY BY BINDING ELISA
459,ELISA_BINDING,POTENCY BY BINDING ELISA,POTENCY BY BINDING ELISA
460,ELISA_2,POTENCY BY ELISA RELATIVE TO THE REFERENCE STANDARD,POTENCY BY BINDING ELISA
461,ELISA,POTENCY BY BLOCKING ELISA,POTENCY BY BINDING ELISA
462,ELISA_BINDING,POTENCY (ELISA) CTLA-4-NF,POTENCY BY BINDING ELISA
463,ELISA_BINDING,Relative Binding Activity,POTENCY BY BINDING ELISA
464,ELISA,POTENCY (ELISA) ,POTENCY BY BINDING ELISA
465,ELISA_BINDING_2,POTENCY BY ELISA BINDING,POTENCY BY BINDING ELISA
466,BIOLOGICAL_ASSAY,POTENCY (CELL-BASED BIOASSAY)-RELATIVE TO REFERENCE STANDARD,POTENCY BY CELL-BASED BIOASSAY
467,BIOLOGICAL_ASSAY,Potency (Cell Based) Relatlimab,POTENCY BY CELL-BASED BIOASSAY
468,BIOLOGICAL_ASSAY,Potency (Cell-Based) Bioassay,POTENCY BY CELL-BASED BIOASSAY
469,BIOASSAY_2,POTENCY (CELL-BASED BIOASSAY),POTENCY BY CELL-BASED BIOASSAY
470,BIOASSAY,POTENCY (CELL-BASED BIOASSAY),POTENCY BY CELL-BASED BIOASSAY
471,BIOASSAY,POTENCY (CELL-BASED BIOASSAY) RELATIVE POTENCY,POTENCY BY CELL-BASED BIOASSAY
472,BIOASSAY_2,POTENCY (CELL-BASED BIOASSAY),POTENCY BY CELL-BASED BIOASSAY
473,BIOLOGICAL_ASSAY,POTENCY (CELL-BASED BIOASSAY),POTENCY BY CELL-BASED BIOASSAY
474,ELISA,POTENCY (CELL-BASED BIOASSAY),POTENCY BY CELL-BASED BIOASSAY
475,BIOASSAY,POTENCY (CELL-BASED BIOASSAY),POTENCY BY CELL-BASED BIOASSAY
476,BIOLOGICAL_ASSAY,POTENCY (CELL-BASED BIOASSAY) RELATIVE TO REFERENCE STANDARD,POTENCY BY CELL-BASED BIOASSAY
477,BIOLOGICAL_ASSAY,POTENCY (CELL-BASED BIOASSAY),POTENCY BY CELL-BASED BIOASSAY
478,BIOLOGICAL_ASSAY,CELL-BASED BIOASSAY (POTENCY RELATIVE TO REFERENCE MATERIAL),POTENCY BY CELL-BASED BIOASSAY
479,P_M15709,BIOASSAY - CELL BASED,POTENCY BY CELL-BASED BIOASSAY
480,GBL_250739,CELL-BASED BIOASSAY,POTENCY BY CELL-BASED BIOASSAY
481,BIOASSAY,CELL-BASED BIOASSAY POTENCY,POTENCY BY CELL-BASED BIOASSAY
482,250193_PROT_CONT,PROTEIN CONCENTRATION SAMPLE READING 3,PROTEIN CONCENTRATION (A280)
483,PROTEIN_CONCENTRATION_NOCALC_3,PROTEIN CONCENTRATION (A280) NIVOLUMAB,PROTEIN CONCENTRATION (A280)
484,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION (A280) RELATLIMAB,PROTEIN CONCENTRATION (A280)
485,PROTEIN_CONCENTRATION,PROTEIN CONCENTRATION: A280 (RESULT),PROTEIN CONCENTRATION (A280)
486,PROTEIN_CONCENTRATION,PROTEIN CONCENTRATION: A280 (RESULT),PROTEIN CONCENTRATION (A280)
487,PROTEIN_CONCENTRATION_NOCALC_2,PROTEIN CONCENTRATION (A280) RELATLIMAB ,PROTEIN CONCENTRATION (A280)
488,PROTEIN_CONCENTRATION_NO_CALC,A280 CONCENTRATION(PROTEIN CONCENTRATION),PROTEIN CONCENTRATION (A280)
489,P_M15790,TOTAL PROTEIN CONCENTRATION (A280),PROTEIN CONCENTRATION (A280)
490,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION: A280 PERCENT OF LABEL CLAIM,PROTEIN CONCENTRATION (A280)
491,PROTEIN_CONCENTRATION_NO_CALC,TOTAL PROTEIN CONCENTRATION (A280),PROTEIN CONCENTRATION (A280)
492,PROTEIN_CONCENTRATION_NOCALC_2,PROTEIN CONCENTRATION (A280) IPILIMUMAB,PROTEIN CONCENTRATION (A280)
493,PROTEIN_CONCENTRATION_NOCALC_3,PROTEIN CONCENTRATION (A280) RELATLIMAB,PROTEIN CONCENTRATION (A280)
494,PROTEIN_CONCENTRATION_NOCALC_2,PROTEIN CONCENTRATION (A280) NIVOLUMAB,PROTEIN CONCENTRATION (A280)
495,PROTEIN_CONCENTRATION_NOCALC_2,PROTEIN CONCENTRATION (A280) ANTI-LAG3 ,PROTEIN CONCENTRATION (A280)
496,PROTEIN_CONCENTRATION_NOCALC_2,PROTEIN CONCENTRATION (A280) RELATLIMAB,PROTEIN CONCENTRATION (A280)
497,BIO_PROTEIN_CONC_SOLO_VPE,PROTEIN CONCENTRATION (A280) NIVOLUMAB (FIO),PROTEIN CONCENTRATION (A280)
498,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION A280,PROTEIN CONCENTRATION (A280)
499,BIO_PROTEIN_CONCENTRATION,PROTEIN CONCENTRATION (A280) RELATLIMAB (FIO),PROTEIN CONCENTRATION (A280)
500,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION (A280) ,PROTEIN CONCENTRATION (A280)
501,PROTEIN_CONCENTRATION, PROTEIN CONCENTRATION (A280) RELATLIMAB,PROTEIN CONCENTRATION (A280)
502,PROTEIN_CONCENTRATION,PROTEIN CONCENTRATION (A280) NIVOLUMAB,PROTEIN CONCENTRATION (A280)
503,PROTEIN_CONCENTRATION,PROTEIN CONCENTRATION (A280),PROTEIN CONCENTRATION (A280)
504,BIO_PROTEIN_CONCENTRATION,TOTAL PROTEIN CONCENTRATION (A280),PROTEIN CONCENTRATION (A280)
505,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION (A280) IPILIMUMAB,PROTEIN CONCENTRATION (A280)
506,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION (A280) NIVOLUMAB,PROTEIN CONCENTRATION (A280)
507,PROTEIN_CONCENTRATION,PROTEIN CONCENTRATION (A280) RELATLIMAB,PROTEIN CONCENTRATION (A280)
508,PROTEIN_CONCENTRATION_NO_CALC,IDENTITY (PROTEIN CONCENTRATION (A280)),PROTEIN CONCENTRATION (A280)
509,PROTEIN_CONCENTRATION_NO_CALC,IDENTITY-PROTEIN CONCENTRATION (A280),PROTEIN CONCENTRATION (A280)
510,BIO_PROTEIN_CONC_SOLO_VPE,PROTEIN CONCENTRATION: A280,PROTEIN CONCENTRATION (A280)
511,PROTEIN_CONCENTRATION_NOCALC_2,PROTEIN CONCENTRATION:  A280,PROTEIN CONCENTRATION (A280)
512,BIO_PROTEIN_CONCENTRATION,TOTAL PROTEIN CONCENTRATION (A280) ,PROTEIN CONCENTRATION (A280)
513,BIO_PROTEIN_CONCENTRATION,PROTEIN CONCENTRATION (A280),PROTEIN CONCENTRATION (A280)
514,PROTEIN_CONCENTRATION_NO_CALC,IDENTITY - PROTEIN CONCENTRATION (A280),PROTEIN CONCENTRATION (A280)
515,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION (A280),PROTEIN CONCENTRATION (A280)
516,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION (A280) FOR POTENCY DETERMINATION,PROTEIN CONCENTRATION (A280)
517,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION: A280 (PERCENT OF LABEL),PROTEIN CONCENTRATION (A280)
518,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION - A280,PROTEIN CONCENTRATION (A280)
519,PROTEIN_CONCENTRATION_NOCALC_2,PROTEIN CONCENTRATION (A280) LAG3,PROTEIN CONCENTRATION (A280)
520,PROTEIN_CONCENTRATION, PROTEIN CONCENTRATION (A280) NIVOLUMAB,PROTEIN CONCENTRATION (A280)
521,PROTEIN_CONCENTRATION_NO_CALC,IDENTITY (PROTEIN CONCENTRATION) (A280),PROTEIN CONCENTRATION (A280)
522,BIO_PROTEIN_CONCENTRATION,PROTEIN CONCENTRATION: A280,PROTEIN CONCENTRATION (A280)
523,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION: A280,PROTEIN CONCENTRATION (A280)
524,PROTEIN_CONTENT_NO_CALC,PROTEIN CONCENTRATION A280,PROTEIN CONCENTRATION (A280)
525,BIO_PROTEIN_CONC_SOLO_VPE,PROTEIN CONCENTRATION (A280),PROTEIN CONCENTRATION (A280)
526,PROTEIN_CONCENTRATION_NO_CALC,PROTEIN CONCENTRATION:A280,PROTEIN CONCENTRATION (A280)
527,PROTEIN_CONCENTRATION_NOCALC_2,IDENTITY: PROTEIN CONCENTRATION (A280),PROTEIN CONCENTRATION (A280)
528,PROTEIN_CONCENTRATION,PROTEIN CONCENTRATION: A280,PROTEIN CONCENTRATION (A280)
529,95007424_PROT_CONT,PROTEIN CONCENTRATION,PROTEIN CONCENTRATION (A280)
530,C_95007424,PROT CONTENT UV 280NM_READING 3,PROTEIN CONCENTRATION (A280)
531,95007424_PROT_CONT,PROTEIN CONCENTRATION UV A280 NM,PROTEIN CONCENTRATION (A280)
532,C_95007424,PROT CONCENTRATION UV 280 NM_REP 3,PROTEIN CONCENTRATION (A280)
533,95007424_SYSTEM,ABSORBANCE AT 280 STD 4 SECOND BRACKET,PROTEIN CONCENTRATION (A280)
534,PROTEIN_CONCENTRATION_NOCALC_2,PROTEIN CONCENTRATION - A280,PROTEIN CONCENTRATION (A280)
535,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR  BAND,SDS-PAGE (NON-REDUCED) PURITY
536,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY  OF MINOR BAND 2,SDS-PAGE (NON-REDUCED) PURITY
537,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR BAND 3,SDS-PAGE (NON-REDUCED) PURITY
538,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY ALL MINOR BANDS,SDS-PAGE (NON-REDUCED) PURITY
539,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR BAND 1,SDS-PAGE (NON-REDUCED) PURITY
540,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF ALL MINOR BAND 2,SDS-PAGE (NON-REDUCED) PURITY
541,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF  MINOR BAND 5,SDS-PAGE (NON-REDUCED) PURITY
542,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF ALL MINOR BAND 1,SDS-PAGE (NON-REDUCED) PURITY
543,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR BAND 10,SDS-PAGE (NON-REDUCED) PURITY
544,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR BAND 11,SDS-PAGE (NON-REDUCED) PURITY
545,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MAJOR BAND,SDS-PAGE (NON-REDUCED) PURITY
546,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR BAND 1,SDS-PAGE (NON-REDUCED) PURITY
547,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR BAND 2,SDS-PAGE (NON-REDUCED) PURITY
548,SDS_PAGE,SDS-PAGE (NON-REDUCED) % PURITY OF MAJOR BAND,SDS-PAGE (NON-REDUCED) PURITY
549,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR BAND 3,SDS-PAGE (NON-REDUCED) PURITY
550,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR  BAND 3,SDS-PAGE (NON-REDUCED) PURITY
551,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR BAND,SDS-PAGE (NON-REDUCED) PURITY
552,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY MINOR BAND 2,SDS-PAGE (NON-REDUCED) PURITY
553,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY MINOR BAND 1,SDS-PAGE (NON-REDUCED) PURITY
554,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MAJOR BAND RELATIVE TO REF,SDS-PAGE (NON-REDUCED) PURITY
555,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF  MINOR BAND 1,SDS-PAGE (NON-REDUCED) PURITY
556,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY,SDS-PAGE (NON-REDUCED) PURITY
557,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF  MINOR BAND 4,SDS-PAGE (NON-REDUCED) PURITY
558,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF  MINOR BAND 2,SDS-PAGE (NON-REDUCED) PURITY
559,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY  OF MINOR BAND 6,SDS-PAGE (NON-REDUCED) PURITY
560,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR BAND 9,SDS-PAGE (NON-REDUCED) PURITY
561,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MINOR  BAND,SDS-PAGE (NON-REDUCED) PURITY
562,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF ALL MINOR BAND 3,SDS-PAGE (NON-REDUCED) PURITY
563,SDS_PAGE,SDS-PAGE (NON-REDUCED) PURITY OF MAJOR BAND,SDS-PAGE (NON-REDUCED) PURITY
564,SDS_PAGE,SDS-PAGE-Reduced Cumulative Purity of Heavy and Light Chains,SDS-PAGE (REDUCED) PURITY
565,250495,SDS COO NONREDUCED MAJOR BAND 1DP,SDS-PAGE (NON-REDUCED) PURITY
