,Analysis,Attribute,parent_class,parent_class_prob
2016,SDS_PAGE,SDS-PAGE (NR) Total minor bands,0,0.9995229
2017,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW =,0,0.9995165
2018,PARTICULATE_MATTER,Particulate Matter >=10 micrometers,3,0.99212575
2019,PARTICULATE_MATTER,Particulate Matter >=25 micrometers,3,0.9921353
2020,ELISA,Potency ELISA Relative to Rreference Standard,4,0.9982401
2021,ICIEF,iCE pl of unexpected peaks,1,0.9994717
2022,SE_HPLC,SEC-HPLC  Monomer,2,0.9994506
2023,ELISA,Potency Relative to the Reference Standard,4,0.9982199
2024,CE_SDS_2,CE-SDS (Non-Reduced) HHL Purity,0,0.9995334
2025,CE_SDS_2,CE-SDS (Non-Reduced) Sum of Undefined Peaks Purity,0,0.9995449
2026,CE_SDS,CE-SDS (Non-Reduced) Minor Peak RRT 1 >= LOQ,0,0.99953914
2027,HPLC,Butylated Hydroxytoluene (LC),0,0.98357683
2028,CE_SDS,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak < LOQ 2,0,0.99953127
2029,CE_SDS,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak < LOQ 1,0,0.99953127
2030,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak < LOQ 3,0,0.9995315
2031,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak < LOQ 2,0,0.99953175
2032,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak < LOQ 1,0,0.999532
2033,PARTICULATE_MATTER,Particulate Matter (HIAC) >= 3 micrometers,3,0.99218106
2034,PARTICULATE_MATTER,Particulate Matter (HIAC) >= 2 micrometers,3,0.99218106
2035,PARTICULATE_MATTER,Particulate Matter (HIAC) >= 5 micrometers,3,0.99216604
2036,CE_SDS_2,CE-SDS (Non-Reduced) Purity,0,0.99953425
2037,ELISA_BINDING,Binding Activity  Relative to the Reference Standard,4,0.99822026
2038,CE_SDS,CE-SDS (Reduced) Purity,0,0.99952734
2039,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = >200,0,0.99950075
2040,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW = 177,0,0.9995146
2041,SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 167,0,0.99951315
2042,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 11,0,0.99947375
2043,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 12,0,0.99947375
2044,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 3,0,0.9994747
2045,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 4,0,0.99947244
2046,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 7,0,0.999469
2047,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 13,0,0.99947673
2048,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 1,0,0.9994704
2049,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 8,0,0.9994716
2050,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 5,0,0.99947387
2051,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 10,0,0.9994715
2052,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 2,0,0.99947375
2053,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 9,0,0.99947196
2054,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 6,0,0.9994685
2055,SDS_PAGE,(Non-Reduced) Molecular Weight of Minor Band 1,0,0.9995198
2056,SE_HPLC,SE-HPLC (GP) Cumulative Aggregate,2,0.99945205
2057,SE_HPLC,SE-HPLC (GP) Monomer,2,0.9994536
2058,SDS_PAGE,SDS-PAGE (NR) minor band 1 MW=165,0,0.9995117
2059,SDS_PAGE,SDS-PAGE (Non-Reduced) Purity of Minor Band 1,0,0.99953437
2060,ELISA,Potency ELISA relative to reference standard,4,0.9982608
2061,HPLC,RP-HPLC Pre-peaks,2,0.9994166
2062,HPLC,RP-HPLC Main Post-peaks,2,0.9994143
2063,HPLC,RP-HPLC Main Peak,2,0.9994018
2064,ICIEF,Group 1,1,0.99953914
2065,ICIEF,Group 3,1,0.9995291
2066,ICIEF,Group 2,1,0.99953175
2067,BIOASSAY,Potency,4,0.9979482
2068,ELISA,Potency ELISA,4,0.9982133
2069,SDS_PAGE,SDS-PAGE (Non-Reduced) Intensity Of Major Band,0,0.99953294
2070,HPLC,GPC-HPLC  Monomer,2,0.99941564
2071,HPLC,Cumulative Aggregate,2,0.9577378
2072,BIOLOGICAL_ASSAY,Assay (Result),4,0.99471396
2073,SE_HPLC,Size Exclusion Chromatography Main Clip,2,0.99944466
2074,PARTICULATE_MATTER,Particles 2-10 micrometers,3,0.99191815
2075,PARTICULATE_MATTER_2,"Particulates, 2-10 micrometers",3,0.991598
2076,CE_SDS_2,CE-SDS (Non-Reduced) RRT for Unknown Minor Peak >= LOQ 4,0,0.9995389
2077,SDS_PAGE,SDS-PAGE (Reduced) Molecular Weight of each Minor Bands,0,0.9995221
2078,SDS_PAGE,SDS-PAGE (Non-Reduced) Molecular Weight of Each Minor Bands,0,0.9995278
2079,PARTICULATE_MATTER,Particulate matter (Light obscuration) >= 10 micrometers,3,0.99216545
2080,PARTICULATE_MATTER,Particulate matter (Light obscuration) >= 25 micrometers,3,0.99217415
2081,CE_SDS_2,CE-SDS (Reduced) Limit of Quantitation,0,0.9995382
2082,CE_SDS,CE-SDS (Non-reduced) Limit of Quantitation,0,0.99953866
2083,CE_SDS,CE-SDS (Reduced)Quantitation Limit,0,0.99954104
2084,CE_SDS_2,CE-SDS (Non-reduced)Quantitation Limit,0,0.9995437
2085,CE_SDS_2,CE-SDS (Non-reduced) RRT Minor Peak >=LOQ,0,0.99954045
2086,CE_SDS,CE-SDS (Reduced) Relartive Migration Time of Minor Peak 5 >L,0,0.999534
2087,CE_SDS,CE-SDS (Reduced) Relartive Migration Time of Minor Peak 2 >L,0,0.999534
2088,CE_SDS,CE-SDS (Reduced) Relartive Migration Time of Minor Peak 4 >L,0,0.99953413
2089,CE_SDS,CE-SDS (Reduced) Relartive Migration Time of Minor Peak 1 >L,0,0.9995334
2090,CE_SDS,CE-SDS (Reduced) Relartive Migration Time of Minor Peak 3 >L,0,0.99953365
2091,PARTICULATE_MATTER_2,Particulate Matter (HIAC) >=10 micrometers,3,0.9921423
2092,RP_HPLC,Monopeg purity,2,0.99944466
2093,CE_SDS,CE-SDS non-reduced,0,0.99952507
2094,CE_SDS,CE-SDS reduced,0,0.9995254
2095,CE_HPLC,CEX-HPLC Major isoform,1,0.9995516
2096,RP_HPLC_3,RP-HPLC Purity,2,0.99944097
2097,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 178,0,0.99951434
2098,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW = 175,0,0.9995123
2099,SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW = 140,0,0.9995134
2100,SDS_PAGE,SDS-PAGE  (R) minor band 1 MW = 45,0,0.99950993
2101,SE_HPLC_2,SEC-HPLC HMW,2,0.9994448
2102,SE_HPLC_2,SEC-HPLC LMW,2,0.9994437
2103,SE_HPLC_2,SEC-HPLC Monomer,2,0.99945
2104,SE_HPLC_2,SEC-HPLC Cumulative Aggregate,2,0.99944013
2105,CE_SDS,CE-SDS (Reduced),0,0.9995216
2106,CE_SDS,CE-SDS (Non-reduced),0,0.9995234
2107,SE_HPLC,SE-HPLC- LMW,2,0.99943966
2108,SE_HPLC,SE-HPLC- HMW,2,0.9994413
2109,CE_HPLC,"Major isoform, CEX-HPLC",1,0.9995435
2110,CE_SDS_2,CE-SDS (Non-Reduced) Migration Time of Minor Peaks,0,0.9995388
2111,POTENCY_1,Average Assay (Percent of Label),4,0.9977877
2112,POTENCY_1,Assay (Percent of label),4,0.9978302
2113,POTENCY_1,Potency,4,0.9975649
2114,CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= QL 2,0,0.9995129
2115,CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= QL 1,0,0.9995129
2116,PROTEIN_CONCENTRATION_NOCALC_2,Percent of Initial,6,0.9951068
2117,BIO_ICIEF,iCIEF Main Peak pI,1,0.9996051
2118,SDS_PAGE,SDS PAGE (Reduced)_1 (Result) Non-main band MW 78.8 kD,0,0.99952936
2119,SDS_PAGE,Nu-Page Reduced Non-main band MW 114.8 kD,0,0.99941456
2120,SE_HPLC,Cumulative Aggregate,2,0.9993938
2121,CE_SDS_2,CE-SDS (Non-reduced) Relative Migration Time of Minor Peak 1,0,0.99953616
2122,CE_SDS_2,CE-SDS (Non-reduced) Relative Migration Time of Minor Peak 2,0,0.9995365
2123,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 4,0,0.9995332
2124,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 2,0,0.99953306
2125,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 6,0,0.99953365
2126,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 5,0,0.9995327
2127,CE_SDS,CE-SDS (Reduced) Relative Migration Tie of Minor Peak 1,0,0.9995371
2128,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 3,0,0.9995332
2129,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 167,0,0.99951255
2130,CE_SDS,CE-SDS (Reduced) Limit of Quantitation,0,0.9995371
2131,CE_SDS_2,CE-SDS (Non-Reduced) Limit of Quantitation,0,0.99953985
2132,PARTICULATE_MATTER,Particles>= 5 micrometers,3,0.99195707
2133,PARTICULATE_MATTER_2,Particles per container 2-10 micrometers,3,0.99195886
2134,POTENCY_PERCENT_OF_INITIAL,Potency (LC),4,0.9974948
2135,CE_SDS,CE-SDS (Non-Reduced) RRT for Unknown Minor Peak >= QL 2,0,0.9995376
2136,CE_SDS,CE-SDS (Non-Reduced) RRT for Unknown Minor Peak >= QL 1,0,0.9995377
2137,CE_SDS_2,CE-SDS (Reduced) RRT for Unknown Minor Peak >= QL 2,0,0.99953794
2138,CE_SDS_2,CE-SDS (Reduced) RRT for Unknown Minor Peak >= QL 1,0,0.99953806
2139,PARTICULATE_MATTER_2,Particulate Matter (HIAC)>=2 micrometers,3,0.9921559
2140,PARTICULATE_MATTER_2,Particles >= 5 Microns (Concentrate),3,0.99189126
2141,PARTICULATE_MATTER_2,Particulate Matter (HIAC)>=3 micrometers,3,0.9921651
2142,ELISA_2,Potency BCMA (ELISA),4,0.99821556
2143,PARTICULATE_MATTER,"""Particulate matter (Light 
obscuration) >= 10 micrometers""",3,0.9921284
2144,PARTICULATE_MATTER,"""Particulate matter (Light 
obscuration) >= 25 micrometers""",3,0.9921381
2145,SDS_PAGE,SDS-PAGE  (R) minor band 4 MW = 41,0,0.9995109
2146,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 3 >LO,0,0.99953413
2147,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 5 >LO,0,0.99953413
2148,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 6 >LO,0,0.99953413
2149,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 4 >LO,0,0.99953413
2150,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 7 >LO,0,0.99953437
2151,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 1 >LO,0,0.99953413
2152,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 2 >LO,0,0.99953413
2153,CE_SDS_2,CE-SDS (Reduced) RRT of Minor Peak >= LOQ,0,0.9995364
2154,CE_SDS,CE-SDS (Non-Reduced) RRT of Minor Peak >= LOQ,0,0.99953556
2155,PARTICULATE_MATTER_2,Particles >= 3 Microns (Concentrate),3,0.9919031
2156,PARTICULATE_MATTER_2,Particles >= 2 Microns (Concentrate),3,0.99189067
2157,BIOLOGICAL_ASSAY,Potency Relative to Reference Standard,4,0.99809045
2158,SDS_PAGE,SDS-PAGE  (NR) minor band 8 MW = 37,0,0.99950933
2159,SDS_PAGE,SDS-PAGE  (R) minor band 6 MW = 13,0,0.9995072
2160,SDS_PAGE,SDS-PAGE  (NR) minor band 6 MW = 141,0,0.99951017
2161,SDS_PAGE,SDS-PAGE  (R) minor band 2 MW = 95,0,0.9995059
2162,SDS_PAGE,SDS-PAGE  (R) minor band 3 MW = 44,0,0.9995091
2163,SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW = 173,0,0.9995136
2164,SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 176,0,0.99951553
2165,SDS_PAGE,SDS-PAGE  (R) minor band 5 MW = 36,0,0.9995072
2166,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW = >200,0,0.9995005
2167,SDS_PAGE,SDS-PAGE  (NR) minor band 5 MW = 167,0,0.9995098
2168,SDS_PAGE,SDS-PAGE  (R) minor band 1 MW = 125,0,0.99950206
2169,SDS_PAGE,SDS-PAGE  (NR) minor band 7 MW = 87,0,0.9995128
2170,SDS_PAGE,SDS-PAGE  (NR) minor band 9 MW = 12,0,0.99950874
2171,ELISA_BINDING,Anti-CD28 Binding Relative to Reference,4,0.9982474
2172,RP_HPLC_2,RP HPLC/ELSD Free PEG Main Peak,2,0.99945885
2173,CE_SDS_2,CGE (Reduced) QL,0,0.99953425
2174,CE_SDS_2,CGE (Reduced) RRT for Unknown Minor Peak >= LOQ 4,0,0.99951327
2175,CE_SDS,CE-SDS (Non-Reduced) RRT for Unknown Minor Peak >= LOQ 5,0,0.99953806
2176,CE_SDS,CE-SDS (Non-Reduced) RRT for Unknown Minor Peak >= LOQ 4,0,0.99953806
2177,CE_SDS,CE-SDS  (Reduced)  Rel. ret. time of minor peak 2 >= LOQ,0,0.9995357
2178,CE_SDS,CE-SDS  (Reduced)  Rel. ret. time of minor peak 3 >= LOQ,0,0.99953556
2179,CE_SDS,CE-SDS  (Reduced)  Rel. ret. time of minor peak 1 >= LOQ,0,0.9995352
2180,CE_SDS_2,CE-SDS  (Non-reduced)  Rel. ret. time of minor peak 1 >= LOQ,0,0.9995382
2181,CE_SDS_2,CE-SDS  (Non-reduced)  Rel. ret. time of minor peak 3 >= LOQ,0,0.9995384
2182,CE_SDS_2,CE-SDS  (Non-reduced)  Rel. ret. time of minor peak 4 >= LOQ,0,0.9995384
2183,CE_SDS_2,CE-SDS  (Non-reduced)  Rel. ret. time of minor peak 2 >= LOQ,0,0.99953854
2184,CE_SDS_2,CE-SDS  (Non-reduced)  Rel. ret. time of minor peak 5 >= LOQ,0,0.9995382
2185,SE_HPLC,SE-HPLC (GP)  Monomer,2,0.9994536
2186,SDS_PAGE,% Main Peak,0,0.9991412
2187,SE_HPLC,Low Molecular Weight Component,2,0.999448
2188,SE_HPLC,High Molecular Weight Component,2,0.99944454
2189,SE_HPLC,Main Peak Component,2,0.99935216
2190,CE_HPLC,% Peak 2,1,0.99948895
2191,CE_HPLC,% Peak 1,1,0.99948406
2192,CE_HPLC,% Peak 3,1,0.9994797
2193,CE_HPLC,% Peak 5,1,0.99945956
2194,CE_HPLC,% Acidic Peak,1,0.999542
2195,CE_HPLC,% Peak 4,1,0.99948883
2196,SDS_PAGE_2,Sum of Heavy and Light Chains,0,0.999448
2197,PARTICULATE_MATTER_2,Particulate Matter (HIAC) >= 25 micrometers,3,0.9921433
2198,PARTICULATE_MATTER_2,Particulate Matter (HIAC)>=5 micrometers,3,0.9921495
2199,SDS_PAGE,SDS-PAGE (Non-Red) Purity of Major Band Relative to Ref Std,0,0.9995309
2200,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 166,0,0.9995128
2201,PARTICULATE_MATTER,Particles >= 25 Microns (Concentrate),3,0.9919268
2202,PARTICULATE_MATTER,Particles >= 10 Microns (Concentrate),3,0.9919043
2203,BIOASSAY,Microsphere Relative Potency,4,0.9980768
2204,SDS_PAGE,SDS-PAGE-Non-Reduced Purity of the Major Band,0,0.9995254
2205,SDS_PAGE,SDS-PAGE-Reduced Cumulative Purity of Heavy and Light Chains,0,0.99952793
2206,ACTIVITY_ELISA,Binding Activity,4,0.9982497
2207,BIOLOGICAL_ASSAY,Potency (Cell-Based) Relatlimab,4,0.9981737
2208,BIOLOGICAL_ASSAY_2,Potency(Cell Based) Nivolumab  (Rel. to Referance Standard),4,0.998102
2209,ELISA_BINDING,Binding (ELISA) Nivolumab,4,0.998256
2210,ELISA,Potency (ELISA),4,0.9982127
2211,PARTICULATE_MATTER,Number of particles >=25 micrometer,3,0.99200296
2212,PARTICULATE_MATTER,Number of particles >=10 micrometer,3,0.9919829
2213,SDS_PAGE_2,SDS-PAGE-Non-Reduced Purity of the Major Band,0,0.99952936
2214,ACTIVITY_ELISA,Binding Activity (ELISA),4,0.998256
2215,BIOLOGICAL_ASSAY,Potency Relative to Rreference Standard,4,0.99807113
2216,BIOLOGICAL_ASSAY,Potency (Cell-based),4,0.9981572
2217,ELISA_BINDING,Potency (ELISA) (Result),4,0.99825937
2218,CE_SDS,CE-SDS (Non-Reduced) Sum of A(lgG) and A(NG-IgG),0,0.9995254
2219,CE_SDS,CE-SDS (Non-Reduced) A(HHL),0,0.9995234
2220,ICIEF,iCE pl of I(0),1,0.9991715
2221,PH,pH (25 Â±3oC),5,0.9980773
2222,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 3 RRT >= LOQ,0,0.99953663
2223,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 1 RRT >= LOQ,0,0.99953663
2224,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 2 RRT >= LOQ,0,0.99953604
2225,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 4 RRT >= LOQ,0,0.9995364
2226,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 5 RRT >= LOQ,0,0.99953616
2227,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 4 RRT >= LOQ,0,0.99953306
2228,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 5 RRT >= LOQ,0,0.99953294
2229,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 3 RRT >= LOQ,0,0.9995328
2230,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 2 RRT >= LOQ,0,0.9995332
2231,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 1 RRT >= LOQ,0,0.99953353
2232,SDS_PAGE,SDS-PAGE (NR) minor band 1 MW=168,0,0.99951196
2233,BIOLOGICAL_ASSAY,Bioassay,4,0.99749833
2234,BIOLOGICAL_ASSAY,Potency (Cell based assay),4,0.99815565
2235,ELISA_2,CD3e ELISA binding relative to reference standard,4,0.9981951
2236,ELISA,BCMA ELISA binding relative to reference standard,4,0.9981937
2237,PROTEIN_CONCENTRATION_NO_CALC,Protein Concentration: A280 Percent of Label claim,6,0.9951656
2238,CE_SDS,CE-SDS (Reduced) RRT of Unknown Minor Peak >= LOQ 6,0,0.999532
2239,CE_SDS,CE-SDS (Reduced) RRT of Unknown Minor Peak >= LOQ 5,0,0.9995322
2240,SDS_PAGE,SDS-PAGE (Non-Reduced) Molecular Weight Of Addtional Bands,0,0.99953055
2241,SDS_PAGE,SDS-PAGE (Reduced) Molecular Weight of Additional Bands,0,0.99951065
2242,RP_UPLC,Protein ratio (Nivolumab/Relatlimab),2,0.9992483
2243,ELISA_BINDING,Binding ELISA (binding capacity relative to RS),4,0.9982346
2244,SDS_PAGE,Nu-Page Reduced Non-main band MW 79 kD,0,0.9994105
2245,SDS_PAGE,Nu-Page (Red.) relative abundance of the band at ~61kDa MW,0,0.9991412
2246,SDS_PAGE,Nu-Page (Red.) relative abundance of the band at ~32kDa MW,0,0.9991504
2247,SE_HPLC,SE-HPLC (Main Peak),2,0.99944526
2248,SE_HPLC,SE-HPLC (Pre-Main Peaks),2,0.99944264
2249,SDS_PAGE,SDS-PAGE (NR) minor band 1 MW=>200,0,0.99950075
2250,SDS_PAGE,SDS-PAGE (NR) minor band 3 MW=170,0,0.99951184
2251,SDS_PAGE,SDS-PAGE (NR) minor band 2 MW=177,0,0.9995146
2252,SDS_PAGE,SDS PAGE (Non-Reduced) Purity of Minor Band 1,0,0.9995363
2253,SDS_PAGE,SDS PAGE (Non-Reduced) Purity of Minor Band 4,0,0.99953747
2254,SDS_PAGE,SDS PAGE (Non-Reduced) Purity of Minor Band 2,0,0.9995365
2255,SDS_PAGE,SDS-PAGE (NR) minor band 4 MW=144,0,0.9995135
2256,SDS_PAGE,SDS PAGE (Non-Reduced) Purity of Minor Band 3,0,0.9995364
2257,SDS_PAGE,SDS PAGE (Reduced) Purity of Minor Band 1,0,0.99953556
2258,ELISA_2,Potency ELISA,4,0.9982582
2259,PARTICULATE_MATTER,Particulate Matter (HIAC) Particles with diameter >=25um,3,0.99196494
2260,PARTICULATE_MATTER,Particulate Matter (HIAC) Particles with diameter >= 10um,3,0.99196625
2261,CE_SDS_2,CE-SDS (Reduced) RRT for Unknown Minor Peak >= QL 3,0,0.9995377
2262,CE_SDS_2,CE-SDS (Reduced) RRT for Unknown Minor Peak >= QL 4,0,0.9995376
2263,BIOLOGICAL_ASSAY,Potency Bioassay,4,0.99809235
2264,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW = 182,0,0.9995135
2265,SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 172,0,0.9995123
2266,SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 171,0,0.9995134
2267,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW = 180,0,0.9995141
2268,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 169,0,0.9995128
2269,SDS_PAGE,SDS-PAGE (Reduced) Purity of Heavy Chain Rel to Ref Std,0,0.9995322
2270,SDS_PAGE,SDS-PAGE (Reduced) Purity of Light Chain Rel to Ref Std,0,0.9995314
2271,SDS_PAGE,SDS-PAGE (Non-Red) Purity Major Band Relative to Ref Std,0,0.9995065
2272,PARTICULATE_MATTER,Particulate Matter (Light Obscuration) >= 10 micrometers,3,0.99216545
2273,PARTICULATE_MATTER,Particulate Matter (Light Obscuration) >= 25 micrometers,3,0.99217415
2274,BIOLOGICAL_ASSAY,Polysorbate 80,7,0.9716448
2275,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak RRT 2 >=LOQ,0,0.99953747
2276,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak RRT 1 >=LOQ,0,0.99953747
2277,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak RRT 2 >=LOQ,0,0.99953854
2278,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak RRT 1 >=LOQ,0,0.99953854
2279,PARTICULATE_MATTER,Particles with diameter >= 10 micrometer,3,0.9919274
2280,PARTICULATE_MATTER,Particles with diameter >= 25 micrometer,3,0.99193746
2281,PARTICULATE_MATTER,Particles with diameter >= 2 micrometer,3,0.991941
2282,PARTICULATE_MATTER,Particles with diameter >= 5 micrometer,3,0.99191135
2283,CE_SDS_2,Main Peak,0,0.99925977
2284,CE_SDS,Total Peak of Heavy and Light Chains,0,0.9994711
2285,CE_HPLC,Peak 3,1,0.9995315
2286,CE_HPLC,Peak 2,1,0.9995347
2287,CE_HPLC,Peak 5,1,0.99952316
2288,CE_HPLC,Peak 1,1,0.9995326
2289,CE_HPLC,Peak 4,1,0.99953675
2290,CE_HPLC,Acidic Peak,1,0.9995479
2291,SDS_PAGE_2,Coomassie Blue Stain (Reduced)[Result],0,0.9994289
2292,SDS_PAGE_2,Coomassie Blue Stain (Non - Red)[Result],0,0.99928683
2293,PARTICULATE_MATTER,Particles >= 2 micrometers,3,0.99197817
2294,SDS_PAGE,SDS-PAGE (Reduced) MW Heavy Chain Relative to Ref Std,0,0.99950683
2295,SDS_PAGE,SDS-PAGE (Non-Reduced) Intensity of Major Band,0,0.99953294
2296,SDS_PAGE,SDS-PAGE (Reduced) MW of Light  Chain Relative to Ref Std,0,0.9995283
2297,SDS_PAGE,SDS-PAGE (Non-Reduced) MW of Major Band Relative to Ref. Std,0,0.9995246
2298,SE_HPLC,Cumulative Degradents,2,0.9993229
2299,HPLC,Acetamidine,0,0.7079235
2300,PURITY_IMP_5,Purity,0,0.9843741
2301,BIOLOGICAL_ASSAY,Depletion (Cell-based Assay),4,0.997282
2302,BIOLOGICAL_ASSAY,Purity (Cell-based Assay),4,0.9950235
2303,BIOLOGICAL_ASSAY,Reversibility Target (Cell-based Assay),4,0.99804235
2304,PARTICULATE_MATTER_2,Particles >= 3 micrometers,3,0.9919665
2305,PARTICULATE_MATTER_2,Particles >= 25 micrometers,3,0.9919612
2306,PARTICULATE_MATTER_2,Particles >= 10 micrometers,3,0.9919469
2307,PARTICULATE_MATTER_2,Particles>= 5 micrometers,3,0.99194837
2308,PARTICULATE_MATTER_2,Particles >= 2 micrometers,3,0.9919565
2309,ISOELECTRIC_FOCUSING,report sum corrected area% acidic isoforms,1,0.99857783
2310,ISOELECTRIC_FOCUSING,report sum corrected area% basic isoforms,1,0.9985617
2311,SDS_PAGE,based on sum of heavy and light chain band intensities,0,0.9994149
2312,SDS_PAGE_2,based on intensity of major band,0,0.99934703
2313,SE_HPLC,SE-HPLC area% sum HMWP,2,0.99945194
2314,SE_HPLC,SE-HPLC area% Monomer,2,0.99945766
2315,SE_HPLC,SE-HPLC area% sum LMWP,2,0.9994487
2316,PARTICULATE_MATTER_MICRO_2,Particulate Matter  2 - 5 micrometers,3,0.9921335
2317,PARTICULATE_MATTER_MICRO_2,Particulate Matter  5 - 10 micrometers,3,0.9921367
2318,PARTICULATE_MATTER_MICRO_2,Particulate Matter  10 - 25 micrometers,3,0.9921393
2319,CE_SDS,CGE (Non-Reduced) RRT for HHL,0,0.9995347
2320,CE_SDS_2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak >= LOQ 10,0,0.99953485
2321,CE_SDS_2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak >= LOQ 8,0,0.9995351
2322,CE_SDS_2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak >= LOQ 7,0,0.9995352
2323,CE_SDS_2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak >= LOQ  9,0,0.99953485
2324,CE_SDS,CE-SDS (Reduced) RRT of Unknown Minor Peak >= LOQ 10,0,0.99953187
2325,CE_SDS,CE-SDS (Reduced) RRT of Unknown Minor Peak >= LOQ 9,0,0.9995321
2326,CE_SDS,CE-SDS (Reduced) RRT of Unknown Minor Peak >= LOQ 7,0,0.99953234
2327,CE_SDS,CE-SDS (Reduced) RRT of Unknown Minor Peak >= LOQ 8,0,0.9995321
2328,SDS_PAGE,SDS-PAGE (Non-Reduced) Molecular Weight of All Minor Bands,0,0.99952614
2329,CE_SDS_2,CE-SDS (Reduced) RRT for Unknown Minor Peak < LOQ 3,0,0.9995357
2330,CE_SDS_2,CE-SDS (Reduced) RRT for Unknown Minor Peak < LOQ 2,0,0.99953556
2331,CE_SDS_2,CE-SDS (R) - RRT of minor peak >= LOQ,0,0.99952996
2332,CE_SDS,CE-SDS (NR) - RRT of minor peak >= LOQ,0,0.99953187
2333,CE_SDS,CE-SDS (NR) - RRT 2.04(if present>=LOQ),0,0.9995209
2334,BIOLOGICAL_ASSAY,Potency (Bioassay),4,0.99811053
2335,SDS_PAGE,SDS-PAGE(Reduced) Purity of Heavy Chain Rel to Ref Std,0,0.9995322
2336,SDS_PAGE,SDS-PAGE(Reduced) Purity of Light Chain Rel to Ref Std,0,0.9995314
2337,SDS_PAGE,SDS-PAGE(Non-Reduced) Major Band Relative to Ref. Std.,0,0.99950707
