Analysis,Attribute,parent_class,parent_class_prob,child_class,child_class_prob,predicted_class
A_TORORENCIA,TOR RESIDUO DA COC 2DECPT,1,0.9903093,7,0.46685404,cex acidic peaks
A_95007421,SIZE HOMOGENEITY HPLC HIGH MW SP 1DECPT,2,0.9987715,3,0.60434437,se-hplc lmw
250629_POT_ELISA_P2,SS 2 RM ABS LOWER ASYMPTOTE,4,0.9984378,3,1.0,spr binding activity
A_TOR_ORENCIA_SC,TOR RES DA COC FORN HIGH,1,0.9740684,6,0.34808335,icief main peak
A_TOR,TOR RES PRODOTTO FINITO,1,0.9017256,6,0.56039065,icief main peak
250580_TOTAL_PROT,RM2 CONCENTRATION INITIAL,6,0.9970113,1,1.0,protein concentration (a280)
250683_CE_SDS_NON_RE,SS RM1 IGG,0,0.99948275,2,0.9659731,ce-sds (non-reduced) purity
A_95007421,SIZE HOMOGENEITY HPLC LOW MW SP 1DECPT,2,0.9989454,3,0.6043541,se-hplc lmw
A_95007423,SDS (COO NON-RED) UNEXPECTED BAND,0,0.9995578,1,0.9890037,ce-sds (non-reduced) hhl
A_USPO236,BACTERIAL ENDOTOXINS (LAL),4,0.9531024,2,0.8061457,potency by binding elisa
A_USPO610,PARTICULATE MATTER 10 MICRONS,3,0.99832255,2,0.5067002,particulate-matter >= 25-um
A_95011468,BIOASSAY,4,0.9992551,1,0.8080894,potency by cell-based bioassay
A_TOR,TOR HIGH DA TT4,5,0.34872025,1,1.0,ph
Y_95007196_PH,pH,5,0.99767333,1,1.0,ph
A_TOR,TOR PACKAGING,6,0.36547893,1,1.0,protein concentration (a280)
A_95007425,ISOELECTRIC FOCUS PI RANGE 4_3_5_6 BANDS,1,0.99863726,6,0.5084937,icief main peak
A_250357,HMW,2,0.9991572,5,0.7820013,se-uplc hmw
A_USPO5258,IPILIMUMAB CUMULATIVE PURITY,0,0.96791345,2,0.8658729,ce-sds (non-reduced) purity
A_5455A,OSMOLALITY,6,0.51056695,1,0.9999541,protein concentration (a280)
A_95007424,PROTEIN CONTENT _ UV,6,0.9976,1,1.0,protein concentration (a280)
A_95007421,SIZE HOMOGENEITY HPLC MONOMER 1DECPT,2,0.99928504,4,0.9672349,se-hplc monomer
A_95009822,HUMAN CELL IL_2 INHIBITION ASSAY,4,0.99925405,1,1.0,potency by cell-based bioassay
A_95009656,OSMOLALITY,6,0.51793075,1,0.9999528,protein concentration (a280)
Y_SM_250495_R,RM SDS COO NONREDUCED MAJOR BAND,0,0.9995079,3,0.930033,ce-sds (reduced) purity
A_TOR,TOR HIGH PACKAGING,2,0.7407684,1,0.99731547,rp-hplc purity
A_95007425,ISOELECTRIC FOCUSING PI 4_5_PROXIMITY,1,0.99902225,6,0.759343,icief main peak
A_95007423,SDS (COO RED) MAJOR BAND,0,0.999571,1,0.58740765,ce-sds (non-reduced) hhl
A_250140,ASPARAGINE DEAMIDATION,4,0.4896162,2,0.5422014,potency by binding elisa
Y_SM_M00001099_R,RM SUM OF MINOR PEAKS 1 1DECPT,1,0.6425833,4,0.98173183,icief acidic peaks
A_TOR,TOR LOW PACKAGING,2,0.828553,1,0.859007,rp-hplc purity
A_TOR_ORENCIA_SC,TOR RES DA COC FOR LOW,1,0.7367679,7,0.39957896,cex acidic peaks
Y_250629_PTE,% Potency,4,0.9979546,2,0.99987495,potency by binding elisa
Y_250628_BDA,% Binding,4,0.99910223,2,0.9958626,potency by binding elisa
250192_SDS_PAGE,ADDITIONAL BANDS GREATER THAN 2% NONRED,0,0.9994216,4,0.91639024,sds-page (non-reduced) purity
A_TOR,TOR LOW RES PRODOTTO FINITO,2,0.538225,1,0.95581335,rp-hplc purity
A_95007433,PARTICULATE MATTER HIAC 10 MICRONS,3,0.99834347,1,0.70088416,particulate-matter >= 10-um
Y_SM_M00001098_R,RM PURITY 3 1DECPT,5,0.5371547,1,1.0,ph
A_250491_VC,VOLUME IN CONTAINER 1,3,0.88677144,2,0.6347712,particulate-matter >= 25-um
95007424_SYSTEM,% DIFFERENCE FOR STD 5 SECOND BRACKET,6,0.4325418,1,1.0,protein concentration (a280)
A_250548,HUMAN CELL IL-2 INHIBITION ASSAY,4,0.99927205,1,1.0,potency by cell-based bioassay
A_95007425,ISOELECTRIC FOCUSING PI RANGE 4_3_5_3,1,0.9989598,6,0.54629153,icief main peak
A_95007423,SDS (COO RED) UNEXPECTED BAND,0,0.9995528,1,0.64196247,ce-sds (non-reduced) hhl
A_250256,BACTERIAL ENDOTOXINS,4,0.9376188,2,0.7068978,potency by binding elisa
A_95007421,SIZE HOMOGENEITY HPLC H MW SP 1D NONEU,2,0.9969619,1,0.76740587,rp-hplc purity
A_TOR_ORENCIA_SC,TOR PRODOTTO FIN LOW,1,0.43146208,6,0.991152,icief main peak
P_M20657,MAIN PEAK,1,0.9975274,6,0.98235947,icief main peak
A_TOR_OPDIVO,TOR CON PACK 8-30 HR,6,0.40017533,1,1.0,protein concentration (a280)
A_TOR_OPDIVO,TOR CON PACK 30-40 MIN,6,0.44470426,1,1.0,protein concentration (a280)
A_95007423,SDS (COO NON-RED) MAJOR BAND,0,0.9995771,1,0.9837923,ce-sds (non-reduced) hhl
A_250435,CHARGE PROFILE (CEX) ACID REG,1,0.9910155,7,0.93022335,cex acidic peaks
P_M20659,METHOD VERSION,4,0.99248487,1,0.9998503,potency by cell-based bioassay
P_M20635,METHOD VERSION,4,0.9915262,1,0.9999367,potency by cell-based bioassay
P_M20659,RRT MINOR PEAK 2 => QL,6,0.81616,1,1.0,protein concentration (a280)
A_TOR_EMPLICITI,TOR DEV FIN 8-25 MIN,6,0.671281,1,1.0,protein concentration (a280)
A_TOR_ORENCIA_SC,TOR DA TT4 LOW,6,0.487354,1,1.0,protein concentration (a280)
A_250435,MAINE PEAK,1,0.99410087,6,0.98439515,icief main peak
A_USPO470,EXTRACTABLE VOLUME,2,0.7740138,5,0.37111035,se-uplc hmw
A_USPO610,PARTICULATE MATTER 25 MICRONS,3,0.99833775,2,0.5067002,particulate-matter >= 25-um
A_TOR_ORENCIA_SC,TOR TT4 LOW COVANCE,6,0.4222426,1,1.0,protein concentration (a280)
A_TOR_OPDIVO,TOR PROD FINITO 30-40,1,0.44483918,9,0.6271976,cex main peak
A_250192_NONRED,PURITY (MAJOR BAND) 0DECPT,0,0.9924954,2,0.57778674,ce-sds (non-reduced) purity
A_250196,B7 BINDING (SURFACE PLASMON RESONANCE),4,0.999223,3,1.0,spr binding activity
Y_SM_250357_R,RM SIZE HOMOGENEITY HMW 1DECPT,2,0.99903584,3,0.99851424,se-hplc lmw
A_250491_VC,VOLUME IN CONTAINER 2,3,0.8776658,2,0.6347712,particulate-matter >= 25-um
A_95007433,PARTICULATE MATTER HIAC 25 MICRONS,3,0.9983437,1,0.70088416,particulate-matter >= 10-um
A_TOR_OPDIVO,TOR PROD FINITO 8-30,1,0.33318344,9,0.6271976,cex main peak
A_250601,PARTICULATE MATTER 25 MICRONS,3,0.9982961,1,0.5209446,particulate-matter >= 10-um
A_250598,LMW,2,0.998804,6,0.7988282,se-uplc lmw
A_250629,POTENCY ELISA,4,0.99927324,2,0.9987607,potency by binding elisa
A_250475,HUMAN CELL IL_2 INHIBITION ASSAY,4,0.99926895,1,1.0,potency by cell-based bioassay
A_USPO1302,SIZE HOMOGEN MONOMER 1DECPT,2,0.9935409,4,0.8651472,se-hplc monomer
A_USPO156,PH 1DECPT,5,0.997664,1,1.0,ph
A_TOR_EMPLICITI,TOR PROD FINITO 8-25,2,0.29280007,1,0.99944514,rp-hplc purity
A_TORORENCIA,TOR RESIDUO ANAGNI 2DECPT,1,0.9970304,4,0.528366,icief acidic peaks
A_TOR_ORENCIA_SC,DEVIAZIONI ANAGNI HIGH,1,0.99266,6,0.86765724,icief main peak
A_250140,METHIONINE OXIDATION 1DECPT,5,0.78436494,1,0.9999999,ph
A_250495_RED,PURITY (MAJOR BAND),0,0.99624383,4,0.9074205,sds-page (non-reduced) purity
A_250343,METHIONINE OXIDATION 1DECPT,5,0.7541081,1,0.9999999,ph
95007424_PROT_CONT,PROTEIN CONCENTRATION AVERAGE,6,0.9977036,1,1.0,protein concentration (a280)
A_TOR_ORENCIA_SC,DEVIAZIONI ANAGNI LOW,1,0.9887686,6,0.86170775,icief main peak
A_250593,PEAK M6,1,0.47741666,6,0.9591184,icief main peak
A_250343,ASPARAGINE DEAMIDATION,0,0.5737445,1,0.73191905,ce-sds (non-reduced) hhl
A_TOR_OPDIVO,DEV 8-30 MIN HALB,5,0.43913478,1,1.0,ph
A_TORORENCIA,TOR DA TT4 2DECPT,0,0.3818338,3,0.82615346,ce-sds (reduced) purity
Y_250627_ICIEF,Basic Peaks,1,0.99973065,5,0.9088939,icief basic peaks
A_TOR_OPDIVO,TOR CON PACK 30-40 TOT,6,0.5385603,1,1.0,protein concentration (a280)
A_USPO1206,PROTEIN CONC- UV (A280NM) 1DECPT,6,0.99616015,1,1.0,protein concentration (a280)
A_250546,APPEARANCE,1,0.43709093,4,0.58864975,icief acidic peaks
A_USPO5258,IPILIMUMAB MAJOR BAND,0,0.84436476,4,0.5564123,sds-page (non-reduced) purity
A_250593,GROUP 3,4,0.25624716,2,0.75660866,potency by binding elisa
Y_M00000093_CESDS_NR,NonRed: Purity major peak,0,0.9660772,2,0.99663323,ce-sds (non-reduced) purity
A_USPO5655,OSMOLALITY,6,0.38967916,1,0.9999714,protein concentration (a280)
A_TOR_OPDIVO,TOR CON PACK 8-25 TOT,6,0.49820077,1,1.0,protein concentration (a280)
A_250735,GROUP 1,4,0.69187343,2,0.75660866,potency by binding elisa
A_250491_VC,VOLUME IN CONTAINER AVG,3,0.59900707,1,0.8241757,particulate-matter >= 10-um
A_USPO1199,BINDING ACTIVITY (ELISA),4,0.9992767,2,0.99998283,potency by binding elisa
A_TOR_EMPLICITI,TOR CON PACK 8-25 HR,6,0.29196084,1,1.0,protein concentration (a280)
A_250491_VC,VOLUME IN CONTAINER 4,3,0.89818954,2,0.6347712,particulate-matter >= 25-um
A_95010544,VOLUME IN CONTAINER,3,0.96215576,2,0.99800307,particulate-matter >= 25-um
Y_250627_ICIEF,Main Peak,1,0.9997291,6,0.99859947,icief main peak
Y_M00000094_CESDS-R,Red: Purity heavy and light chain peaks,0,0.99138874,3,0.9998362,ce-sds (reduced) purity
A_TOR_OPDIVO,TOR CON PACK TOT 8-40,6,0.5981221,1,1.0,protein concentration (a280)
C_5450A,BIOBURDEN 10ML,3,0.9869307,1,0.92512614,particulate-matter >= 10-um
A_TOR,TOR LOW RES ANAGNI,1,0.9075292,6,0.7231364,icief main peak
A_250435,BASIC REGION,1,0.96510834,5,0.99444395,icief basic peaks
A_TOR_ORENCIA_SC,TOR PRODOTTO FIN HIGH,1,0.60589117,6,0.9903984,icief main peak
C_5450A,BIOBURDEN 100ML,3,0.9776889,1,0.81069833,particulate-matter >= 10-um
A_TOR_ORENCIA_SC,TOR TT4 HIGH ANAGNI,1,0.41814077,6,0.9154839,icief main peak
A_250624,SEMI-QUANT. PART. 10 ML,2,0.971965,3,0.718389,se-hplc lmw
A_250628,ACTIVITY BINDING ELISA,4,0.99927396,2,0.9999746,potency by binding elisa
A_95009656_NIVO,OSMOLALITY,5,0.49754512,1,0.9999975,ph
C_5450A,BIOBURDEN ML,3,0.9407894,1,0.9540699,particulate-matter >= 10-um
C_5296A,ENDOTOXIN 15,4,0.6632437,2,0.6342959,potency by binding elisa
A_TOR_EMPLICITI,TOR CON PACK 8-25 TOT,5,0.5731112,1,1.0,ph
C_5296A,ENDOTOXIN 20,4,0.57270575,2,0.6342959,potency by binding elisa
C_5296A,ENDOTOXIN 10,4,0.46361157,2,0.6342959,potency by binding elisa
A_TOR_ORENCIA_SC,TOR TT4 HIGH,6,0.5854377,1,1.0,protein concentration (a280)
R_ABA_SDSPAGESINRED,SDSPAGE Sin Red Banda Mayoritaria,0,0.9992454,3,0.8885535,ce-sds (reduced) purity
C_249491_3,EU_MG_2DP,2,0.7185895,3,0.684134,se-hplc lmw
C_95007421,HIGH MOLECULAR WEIGHT SPECIES,2,0.9961204,3,0.9629377,se-hplc lmw
C_250475,IL2 INHIBITION ASSAY,4,0.99926454,1,0.9999924,potency by cell-based bioassay
C_95007196,PH,5,0.9976069,1,1.0,ph
A_250491_VC,VOLUME IN CONTAINER 3,3,0.90656155,2,0.6347712,particulate-matter >= 25-um
C_5296A,ENDOTOXIN 1DP,4,0.79634,2,0.7483976,potency by binding elisa
95007421_SIZE_HOMOG,HIGH MOLECULAR WEIGHT SPECIES <=4.5,2,0.9811256,2,0.79481286,se-hplc hmw
249699_ID_ABATAC,MIG TIME ABATACEPT RWS,4,0.74197465,3,0.9604394,spr binding activity
Y_SM_95009822_R,EC50-7,4,0.9561704,3,0.9999968,spr binding activity
R_EMPLICITI_PARTIC,Particulas >= 10 um,3,0.9951965,2,0.9976501,particulate-matter >= 25-um
Y_SM_95007421_R,SIZE HOMOGENEITY HMW SPECIES  1DECPT,2,0.9982502,3,0.99783164,se-hplc lmw
P_M20656,LMW,2,0.9982815,3,0.7798355,se-hplc lmw
C_5296A,ENDOTOXIN 5,4,0.78195524,2,0.6342959,potency by binding elisa
A_TOR_ORENCIA_SC,TOR TT4 HIGH COVANCE,6,0.36515653,1,1.0,protein concentration (a280)
A_TOR_ORENCIA_SC,TOR TT4 LOW ANAGNI,1,0.27770752,6,0.91938996,icief main peak
A_TOR,TOR HIGH RES ANAGNI,1,0.9309467,6,0.73785824,icief main peak
C_95007363,AVERAGE PERCENT LABEL CLAIM,2,0.75607395,3,0.8971923,se-hplc lmw
A_TOR_OPDIVO,TOR CON PACK 8-30 MIN,6,0.6397834,1,1.0,protein concentration (a280)
A_250593,PEAK M3,1,0.49712604,9,0.85734236,cex main peak
A_TOR_OPDIVO,TOR CON COC MANATI 8-30 TOT,5,0.5987506,1,1.0,ph
A_250600,POLYSORBATE 80,7,0.9976966,1,1.0,polysorbate 80
A_95010544_NIVO,VOLUME 100MG/10ML,3,0.68566155,1,0.9341036,particulate-matter >= 10-um
A_TOR_OPDIVO,TOR PROD FINITO 8-25,2,0.28599623,1,0.9997491,rp-hplc purity
A_TOR_OPDIVO,TOR CON PACK 8-25 MIN,6,0.6086008,1,1.0,protein concentration (a280)
Y_GM_95009656_R,OSMOLALITY (MOSMO/KG),6,0.4708637,1,1.0,protein concentration (a280)
A_250626,SUM OF UNDEFINED PEAK,1,0.99204904,6,0.77650505,icief main peak
C_95007421,LOW MOLECULAR WEIGHT SPECIES READING 2,6,0.8802312,1,1.0,protein concentration (a280)
C_95009656,OSMOLALITY READING 2,6,0.88617676,1,1.0,protein concentration (a280)
A_250557,ENDOTOXIN,4,0.9044028,3,0.55216783,spr binding activity
A_TOR_ORENCIA_SC,TOR CONSUMATO COC FOR LOW,1,0.5021115,6,0.48463514,icief main peak
C_95007433,TOTAL  PARTICLES PER CONTAINER 25 MICRON,3,0.99826235,1,0.99988854,particulate-matter >= 10-um
A_95007421,SIZE HOMOGENEITY HPLC L MW SP 1D NONEU,2,0.99831855,7,0.67966026,se-uplc monomer
A_250192_RED,PURITY (MAJOR BAND),0,0.99590045,4,0.9074205,sds-page (non-reduced) purity
A_250191,HIGH MOLECULAR WEIGHT SPECIES 1 DECPT,2,0.99611604,5,0.7813344,se-uplc hmw
A_250195,PARTICULATE MATTER >= 10 MICROMETERS,3,0.9983523,1,0.5532169,particulate-matter >= 10-um
A_250593,GROUP 1,4,0.4702307,2,0.75660866,potency by binding elisa
A_95010544_NIVO,VOLUME 40MG/4ML,3,0.6163894,1,0.7007522,particulate-matter >= 10-um
A_TOR_EMPLICITI,TOR DEV FIN 8-25 TOT,6,0.50682384,1,1.0,protein concentration (a280)
C_250256_3,EU_MG_2DP,2,0.90400267,3,0.684134,se-hplc lmw
A_250593,PEAK M4,6,0.7765142,1,1.0,protein concentration (a280)
A_250191,MONOMER 1DECPT,2,0.99452907,7,0.82170284,se-uplc monomer
A_TOR_OPDIVO,TOR CON PACK 8-30 TOT,6,0.4408859,1,1.0,protein concentration (a280)
A_TOR,TOR HIGH RES DA COC,1,0.28530878,6,0.5009171,icief main peak
A_249837,BACTERIAL ENDOTOXINS 2DECPT,4,0.9307631,2,0.56369317,potency by binding elisa
A_250193,PROTEIN CONTENT - UV (A280 NM) 1 DECPT,6,0.99743205,1,1.0,protein concentration (a280)
A_250362,ASPARAGINE DEAMIDATION 1DECPT,0,0.45126033,1,0.72046053,ce-sds (non-reduced) hhl
A_TOR_OPDIVO,TOR CON PACK 30-40 HR,6,0.253313,1,1.0,protein concentration (a280)
A_TOR_OPDIVO,TOR CON PACK 8-25 HR,6,0.27896488,1,1.0,protein concentration (a280)
A_250593,PEAK M1,1,0.8172228,6,0.99816173,icief main peak
A_250207,HUMAN CELL IL-2 INHIBITION ASSAY,4,0.99927753,1,1.0,potency by cell-based bioassay
A_250727,DELIVERED VOLUME,2,0.91067964,6,0.3493699,se-uplc lmw
C_250343,GLYCATION,6,0.7463596,1,0.9999993,protein concentration (a280)
A_95007433,PARTICULATE MATTER 10 MICRONS,3,0.9982994,1,0.5209446,particulate-matter >= 10-um
A_250692,CELL BASED BIOASSAY,4,0.999268,1,0.99999905,potency by cell-based bioassay
A_250599,PROTEIN CONCENTRATION,6,0.9977843,1,1.0,protein concentration (a280)
A_250627,ICIEF MAIN PEAK,1,0.99971646,6,0.98043734,icief main peak
A_TORORENCIA,TOR CONSUMATO DA COC,1,0.9375225,4,0.39040706,icief acidic peaks
A_250186_CU1,VIAL6,4,0.4626669,3,0.98370844,spr binding activity
C_250598,LMW,2,0.9987691,3,0.9779072,se-hplc lmw
C_250629,RELATIVE POTENCY,4,0.99879324,2,0.96615314,potency by binding elisa
A_250188,MOISTURE CONTENT 1DECPT,6,0.78858835,1,0.9999999,protein concentration (a280)
A_TOR_EMPLICITI,TOR DEV HALB 8-25 HR,2,0.3987194,3,0.79939264,se-hplc lmw
A_250598,HMW,2,0.9991968,5,0.7820013,se-uplc hmw
C_95007365,WATER KF,5,0.57947665,1,1.0,ph
C_250593,GROUP 2A,4,0.34083125,1,0.9969921,potency by cell-based bioassay
A_TOR_OPDIVO,TOR CON DA TT4 TOT 8-40,6,0.8593161,1,1.0,protein concentration (a280)
A_250624,SEMI-QUANT.PART. 4 ML,2,0.96728176,3,0.718389,se-hplc lmw
C_95010544,VOL IN CONTAINER,3,0.9810373,1,0.9590623,particulate-matter >= 10-um
A_250519,B7 BINDING (SURFACE PLASMON RESONANCE),4,0.9992225,3,1.0,spr binding activity
C_5296A,ENDOTOXIN 1,4,0.9287415,2,0.6342959,potency by binding elisa
C_250599,UNROUNDED UV CONCENTRATION,6,0.9963469,1,1.0,protein concentration (a280)
C_M00000094,PURITY OF HC AND LC PEAKS,0,0.97517776,3,0.88536286,ce-sds (reduced) purity
C_250628,RELATIVE BINDING,4,0.9991691,2,0.9991372,potency by binding elisa
C_249491_2,EU_MG_2DP,2,0.6864459,3,0.684134,se-hplc lmw
C_250343,ASPARAGINE DEAMIDATION,0,0.59140426,1,0.4328757,ce-sds (non-reduced) hhl
C_95007379,RECONSTITUTION TIME,4,0.47299975,2,0.9446649,potency by binding elisa
A_TOR_EMPLICITI,TOR CON TT4 8-25 HR,6,0.6408197,1,1.0,protein concentration (a280)
A_TOR_OPDIVO,TOR CON PACK 8-25 NO LIGHT TOT,6,0.5600009,1,1.0,protein concentration (a280)
C_250256_2,EU_MG_2DP,2,0.87613684,3,0.684134,se-hplc lmw
A_250362,METHIONINE OXIDATION 1DECPT,5,0.773483,1,0.9999999,ph
A_250473,GROUP 1 (pl 4.30 - 4.81),0,0.33104214,1,0.9317168,ce-sds (non-reduced) hhl
A_250495_NONRED,SINGLE CHAIN,2,0.74881506,7,0.4308324,se-uplc monomer
A_TOR_OPDIVO,TOR CON DA TT4 8-30 MIN,6,0.81576574,1,1.0,protein concentration (a280)
A_TOR_OPDIVO,TOR CON COC MANATI 8-30 MIN,6,0.4461762,1,1.0,protein concentration (a280)
C_95007423,SDS COOM NONREDUCED MAJOR BAND,0,0.9995295,1,0.87519324,ce-sds (non-reduced) hhl
C_95007433,TOTAL PARTICLES PER CONTAINER 10 MICRON,3,0.99825865,1,0.99988854,particulate-matter >= 10-um
C_95007423,SDS COOM REDUCED MAJOR BAND,0,0.9995468,1,0.81007403,ce-sds (non-reduced) hhl
C_95007421,LOW MOLECULAR WEIGHT SPECIES READING 1,6,0.7624398,1,1.0,protein concentration (a280)
250682,DRUG CONTENT 0DP,6,0.6116774,1,1.0,protein concentration (a280)
250658,PEAK 5 1DP,0,0.7075447,4,0.53372234,sds-page (non-reduced) purity
A_250601,PARTICULATE MATTER 10 MICRONS,3,0.998285,1,0.5209446,particulate-matter >= 10-um
C_95007424,PROT CONTENT UV 280 NM,6,0.99726605,1,1.0,protein concentration (a280)
C_5455A,OSMOLALITY,6,0.6309804,1,0.9999994,protein concentration (a280)
C_249491_1,EU_MG_2DP,2,0.6869811,3,0.684134,se-hplc lmw
A_TOR_ORENCIA_FIN,TOR RESIDUO POST PACKAGING,2,0.3362955,1,0.99519724,rp-hplc purity
A_TOR_FIN,TOR PACKAGING,6,0.7410014,1,1.0,protein concentration (a280)
C_95007421,MONOMER,2,0.9986474,4,0.7053535,se-hplc monomer
C_95009656,OSMOLALITY,6,0.62182355,1,0.9999994,protein concentration (a280)
C_95007424,PROT CONTENT UV 280 NM_READING 3,6,0.9974591,1,1.0,protein concentration (a280)
A_TOR_FIN,TOR LOW PACKAGING,2,0.7545268,3,0.6982461,se-hplc lmw
C_95007424,PROT CONCENTRATION UV 280 NM_REP 1,6,0.99757046,1,1.0,protein concentration (a280)
C_M00000093,SUM OF UNDEFINED PEAKS,1,0.9956454,5,0.7314287,icief basic peaks
C_250692,RELATIVE BIOASSAY,4,0.9992719,1,0.98781013,potency by cell-based bioassay
A_TOR_FIN,TOR LOW RES PRODOTTO FINITO,2,0.4997144,1,0.5166453,rp-hplc purity
A_TOR_OPDIVO,TOR PROD FINITO 8-25 NO LIGHT,6,0.47284475,1,1.0,protein concentration (a280)
A_TOR_FIN,TOR HIGH PACKAGING,2,0.5710817,1,0.95481473,rp-hplc purity
C_250599,PROT CONCENTRATION REP 3 GL,6,0.99727756,1,1.0,protein concentration (a280)
C_250653,TOTAL BIOBURDEN COUNT 1,3,0.8066919,1,0.99091786,particulate-matter >= 10-um
C_250598,MONOMER FILLB02,2,0.9991572,4,0.77783746,se-hplc monomer
A_TOR_ORENCIA_FIN,TOR PACKAGING 2DECPT,1,0.44804424,4,0.65735817,icief acidic peaks
A_TOR_OPDIVO,TOR CON PACK 8-25 NO LIGHT MIN,6,0.65991247,1,1.0,protein concentration (a280)
Y_SM_M00002527_R,RS SDS COO NONREDUCED ADDITIONAL BAND,0,0.9994473,3,0.96667916,ce-sds (reduced) purity
95007196,PH 1DP,5,0.9973937,1,1.0,ph
250739,PERCENT RELATIVE POTENCY 0DP,4,0.9831367,1,0.59211105,potency by cell-based bioassay
A_TOR_EMPLICITI,TOR DEV FIN 8-25 HR,6,0.53657466,1,1.0,protein concentration (a280)
A_TOR_OPDIVO,TOR CON PACK 8-25 NO LIGHT HR,6,0.41703293,1,1.0,protein concentration (a280)
C_250548,IL2 INHIBITION ASSAY,4,0.99925464,1,0.9999924,potency by cell-based bioassay
C_95007421,HIGH MOLECULAR WEIGHT SPECIES READING 2,6,0.8847567,1,1.0,protein concentration (a280)
C_250593,PEAK M1,1,0.68133825,9,0.6250792,cex main peak
C_250593,PEAK M4,6,0.88556486,1,1.0,protein concentration (a280)
C_250343,METHIONINE OXIDATION,0,0.6151279,3,0.3890114,ce-sds (reduced) purity
C_95007424,PROT CONTENT UV 280 NM_READING 2,6,0.9974891,1,1.0,protein concentration (a280)
C_250624,TOTAL PARTICLES,3,0.99787974,1,0.98665875,particulate-matter >= 10-um
C_M00000093,PURITY OF MAJOR PEAK,0,0.96866757,2,0.93374205,ce-sds (non-reduced) purity
C_250601,TOTAL PARTICLES 10 MICRON,3,0.9982571,1,0.99750817,particulate-matter >= 10-um
A_M00000094,CE-SDS REDUCED,0,0.9995933,1,0.6525266,ce-sds (non-reduced) hhl
C_5296A,ENDOTOXIN 50,4,0.38586423,2,0.6342959,potency by binding elisa
A_TOR_FIN,TOR HIGH RES PRODOTTO FINITO,1,0.4825797,6,0.85253364,icief main peak
C_5455A,OSMOLALITY READING 1,6,0.84415823,1,1.0,protein concentration (a280)
C_250256_1,EU_MG_2DP,2,0.89945346,3,0.684134,se-hplc lmw
A_TOR_ORENCIA_SC,TOR CONSUMATO COC FOR HIGH,1,0.7313566,6,0.48026857,icief main peak
C_95007433,TOTAL PARTICLES PER CONTAINER 25 MICRON,3,0.99826235,1,0.99988854,particulate-matter >= 10-um
A_M00000093,HHL,0,0.9809186,1,0.99988985,ce-sds (non-reduced) hhl
A_250598,% MONOMER,2,0.9992336,7,0.85202336,se-uplc monomer
M_250683,CE-SDS NON-REDUCED,0,0.9995999,1,0.9943836,ce-sds (non-reduced) hhl
GBL_250680,WATER CONTENT,6,0.9857825,1,1.0,protein concentration (a280)
C_250593,PEAK M5,6,0.6149178,1,1.0,protein concentration (a280)
C_250593,PI GROUP 3,5,0.5884268,1,1.0,ph
C_250601,TOTAL PARTICLES 25 MICRON,3,0.9982508,1,0.99750817,particulate-matter >= 10-um
GBL_250657,MONOMER,2,0.99922633,7,0.5408714,se-uplc monomer
C_95007421,LOW MOLECULAR WEIGHT SPECIES,2,0.9954413,3,0.9796148,se-hplc lmw
A_TOR_FIN,TOR HIGH RES ANAGNI,1,0.9667881,6,0.6309364,icief main peak
A_TOR_OPDIVO,TOR CON COC MANATI 8-25 HR,5,0.39482892,1,1.0,ph
C_250593,PI GROUP 2,5,0.8247057,1,1.0,ph
C_95009656,OSMOLALITY READING 3,6,0.95743173,1,1.0,protein concentration (a280)
C_95007424,PROT CONTENT UV 280NM_READING 2,6,0.9974867,1,1.0,protein concentration (a280)
250657,MONOMER 1DP,2,0.9922139,4,0.5993947,se-hplc monomer
250684,REDUCED HEAVY CHAIN 1DP,0,0.9991346,3,0.48587513,ce-sds (reduced) purity
250658,ACIDIC GROUP 1DP,1,0.9983902,4,0.55639076,icief acidic peaks
250683,MAIN PEAK 1DP,2,0.339827,2,0.3907793,se-hplc hmw
C_95007441,B7 BINDING,4,0.99915874,3,0.99991727,spr binding activity
C_95009656,OSMOLALITY READING 1,6,0.8689415,1,1.0,protein concentration (a280)
A_250495_NONRED,PURITY (MAJOR BAND),0,0.9976108,2,0.6492552,ce-sds (non-reduced) purity
C_95007363,ACCEPTANCE VALUE,4,0.9033871,2,0.9430084,potency by binding elisa
M_250602,PARTICLES >=10 MICRONS,3,0.9982167,2,0.98088056,particulate-matter >= 25-um
M_95007196,PH,5,0.9975961,1,1.0,ph
C_250682,DRUG CONTENT 400MG/VIAL,6,0.62271756,1,1.0,protein concentration (a280)
A_TOR_ORENCIA_FIN,TOR RESIDUO ANAGNI 2DECPT,1,0.9894475,4,0.7430253,icief acidic peaks
C_250599,PROT CONCENTRATION REP 2,6,0.99736243,1,1.0,protein concentration (a280)
A_TOR_EMPLICITI,TOR CON PACK 8-25 MIN,6,0.49495965,1,1.0,protein concentration (a280)
A_250603,ENDOTOXIN LAL,4,0.78158915,2,0.82465434,potency by binding elisa
M_250580,PROTEIN CONCENTRATION,6,0.99778074,1,1.0,protein concentration (a280)
M_250732,CONSTITUTION TIME,5,0.8357135,1,1.0,ph
GBL_250580,PROTEIN CONCENTRATION,6,0.99777955,1,1.0,protein concentration (a280)
GBL_250739,CELL-BASED BIOASSAY,4,0.999268,1,1.0,potency by cell-based bioassay
A_TOR_OPDIVO,TOR CON DA TT4 8-30 HR,6,0.7890461,1,1.0,protein concentration (a280)
